SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
172.28.72.31;142.251.36.130;49787;443;6;www.googletagservices.com;Google LLC, GOOGLE;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-21;0xbaba,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x6a6a,0x0304,0x0303,0x0302,0x0301;66918128f1b9b03303d77c6f2eefd128;t13d1615h2_46e7e9700bed_45f260be83e2;t13d1615h2_000a,002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;EstmobSendAnywhere;A;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240826/EstmobSendAnywhere_20240826-extracted.csv;0
172.28.72.31;142.251.36.138;49778;443;6;fonts.googleapis.com;Google LLC, GOOGLE;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-21;0x0a0a,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x1a1a,0x0304,0x0303,0x0302,0x0301;66918128f1b9b03303d77c6f2eefd128;t13d1615h2_46e7e9700bed_45f260be83e2;t13d1615h2_000a,002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;EstmobSendAnywhere;A;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240826/EstmobSendAnywhere_20240826-extracted.csv;0
172.28.72.31;142.251.36.142;49782;443;6;www.google-analytics.com;Google LLC, GOOGLE;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-21;0xeaea,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x3a3a,0x0304,0x0303,0x0302,0x0301;66918128f1b9b03303d77c6f2eefd128;t13d1615h2_46e7e9700bed_45f260be83e2;t13d1615h2_000a,002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;EstmobSendAnywhere;A;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240826/EstmobSendAnywhere_20240826-extracted.csv;0
172.28.72.31;142.251.36.65;49792;443;6;4532369fc6c42a56edd3117bd5b92897.safeframe.googlesyndication.com;Google LLC, GOOGLE;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-21;0x7a7a,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0xfafa,0x0304,0x0303,0x0302,0x0301;66918128f1b9b03303d77c6f2eefd128;t13d1615h2_46e7e9700bed_45f260be83e2;t13d1615h2_000a,002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;EstmobSendAnywhere;0;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240826/EstmobSendAnywhere_20240826-extracted.csv;0
172.28.72.31;142.251.36.66;49790;443;6;pagead2.googlesyndication.com;Google LLC, GOOGLE;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-21;0xbaba,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0xaaaa,0x0304,0x0303,0x0302,0x0301;66918128f1b9b03303d77c6f2eefd128;t13d1615h2_46e7e9700bed_45f260be83e2;t13d1615h2_000a,002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;EstmobSendAnywhere;A;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240826/EstmobSendAnywhere_20240826-extracted.csv;0
172.28.72.31;142.251.36.66;49796;443;6;pagead2.googlesyndication.com;Google LLC, GOOGLE;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-21;0xfafa,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x7a7a,0x0304,0x0303,0x0302,0x0301;66918128f1b9b03303d77c6f2eefd128;t13d1615h2_46e7e9700bed_45f260be83e2;t13d1615h2_000a,002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;EstmobSendAnywhere;A;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240826/EstmobSendAnywhere_20240826-extracted.csv;0
172.28.72.31;142.251.36.97;49797;443;6;tpc.googlesyndication.com;Google LLC, GOOGLE;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-21;0xbaba,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0xcaca,0x0304,0x0303,0x0302,0x0301;66918128f1b9b03303d77c6f2eefd128;t13d1615h2_46e7e9700bed_45f260be83e2;t13d1615h2_000a,002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;EstmobSendAnywhere;A;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240826/EstmobSendAnywhere_20240826-extracted.csv;0
172.28.72.31;142.251.36.98;49789;443;6;securepubads.g.doubleclick.net;Google LLC, GOOGLE;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-21;0xbaba,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0xbaba,0x0304,0x0303,0x0302,0x0301;66918128f1b9b03303d77c6f2eefd128;t13d1615h2_46e7e9700bed_45f260be83e2;t13d1615h2_000a,002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;EstmobSendAnywhere;A;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240826/EstmobSendAnywhere_20240826-extracted.csv;0
172.28.72.31;142.251.37.110;49759;443;6;redirector.gvt1.com;Google LLC, GOOGLE;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-21;0xbaba,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x7a7a,0x0304,0x0303,0x0302,0x0301;66918128f1b9b03303d77c6f2eefd128;t13d1615h2_46e7e9700bed_45f260be83e2;t13d1615h2_000a,002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;EstmobSendAnywhere;0;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240826/EstmobSendAnywhere_20240826-extracted.csv;0
172.28.72.31;142.251.37.97;49798;443;6;ep2.adtrafficquality.google;Google LLC, GOOGLE;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53-10;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-41;0xaaaa,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x9a9a,0x0304,0x0303,0x0302,0x0301;554719594ba90b02ae410c297c6e50ad;t13d1615h2_46e7e9700bed_13c35ee53a8e;t13d1615h2_000a,002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,001b,0023,0029,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;EstmobSendAnywhere;0;4865;41-51-43;0x0304;2b0648ab686ee45e0e7c35fcfb0eea7e;t130300_1301_6bbbaf601ed8;t130300_1301_0029,0033,002b;tests/ondra3/20240826/EstmobSendAnywhere_20240826-extracted.csv;0
