SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
172.17.145.255;13.32.110.82;49796;443;6;services.addons.mozilla.org;Amazon.com, Inc., AMAZO-CF;771;49195-49199-52393-52392-49196-49200-49162-49161-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-28;0x001d,0x0017,0x0018,0x0019;0;h2,http/1.1;0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;;fb0aa01abe9d8e4037eb3473ca6e2dca;t12d1410h2_c866b44c5a26_b5b8faed2b99;t12d1410h2_002f,0035,009c,009d,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,001c,0023,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;MozillFirefox;0;49199;0-11-65281-16-5-35-23;;20276646585c81d93770671389cac340;t1207h2_c02f_2411d94cc0c2;t1207h2_c02f_000b,ff01,0005,0023,0017;tests/ondra3/20240809/MozillFirefox_20240809-extracted.csv;0
172.17.145.255;142.251.37.110;49793;443;6;redirector.gvt1.com;Google LLC, GOOGLE;771;49195-49199-52393-52392-49196-49200-49162-49161-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-28;0x001d,0x0017,0x0018,0x0019;0;h2,http/1.1;0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;;fb0aa01abe9d8e4037eb3473ca6e2dca;t12d1410h2_c866b44c5a26_b5b8faed2b99;t12d1410h2_002f,0035,009c,009d,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,001c,0023,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;MozillFirefox;0;49195;23-65281-11-35-16;;eca9b8f0f3eae50309eaf901cb822d9b;t1205h2_c02b_4993ccf7354b;t1205h2_c02b_0017,ff01,000b,0023;tests/ondra3/20240809/MozillFirefox_20240809-extracted.csv;0
172.17.145.255;147.229.255.136;49795;443;6;r1---sn-cgovpm-cg9l.gvt1.com;Brno University of Technology - Backbone Admins, VUTBRNET (CZ);771;49195-49199-52393-52392-49196-49200-49162-49161-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-28;0x001d,0x0017,0x0018,0x0019;0;h2,http/1.1;0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;;fb0aa01abe9d8e4037eb3473ca6e2dca;t12d1410h2_c866b44c5a26_b5b8faed2b99;t12d1410h2_002f,0035,009c,009d,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,001c,0023,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;MozillFirefox;0;49195;23-65281-11-35;;84aaf6d03fc8c5bfb56d1d188735b268;t120400_c02b_4993ccf7354b;t120400_c02b_0017,ff01,000b,0023;tests/ondra3/20240809/MozillFirefox_20240809-extracted.csv;0
172.17.145.255;3.165.216.153;49748;443;6;www.mozilla.org;Amazon.com, Inc., AMAZON-CF;771;4865-4867-4866-49195-49199-52393-52392-49196-49200-49162-49161-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-34-51-43-13-45-28-65037;0x001d,0x0017,0x0018,0x0019,0x0100,0x0101;0;h2,http/1.1;0403,0503,0603,0203,0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;0x0304,0x0303;b5001237acdf006056b409cc433726b0;t13d1715h2_5b57614c22b0_9448bd19f75d;t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,001c,0022,0023,002b,002d,0033,fe0d,ff01_0403,0503,0603,0203,0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;MozillFirefox;0;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/ondra3/20240809/MozillFirefox_20240809-extracted.csv;0
172.17.145.255;34.107.243.93;49759;443;6;push.services.mozilla.com;Google LLC, GOOGL-2;771;4865-4867-4866-49195-49199-52393-52392-49196-49200-49162-49161-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-34-51-43-13-45-28-65037;0x001d,0x0017,0x0018,0x0019,0x0100,0x0101;0;h2,http/1.1;0403,0503,0603,0203,0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;0x0304,0x0303;b5001237acdf006056b409cc433726b0;t13d1715h2_5b57614c22b0_9448bd19f75d;t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,001c,0022,0023,002b,002d,0033,fe0d,ff01_0403,0503,0603,0203,0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;MozillFirefox;0;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240809/MozillFirefox_20240809-extracted.csv;0
172.17.145.255;34.107.243.93;49760;443;6;push.services.mozilla.com;Google LLC, GOOGL-2;771;4865-4867-4866-49195-49199-52393-52392-49196-49200-49162-49161-49171-49172-156-157-47-53;0-23-65281-10-11-16-5-34-51-43-13-45-28-65037-41;0x001d,0x0017,0x0018,0x0019,0x0100,0x0101;0;http/1.1;0403,0503,0603,0203,0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;0x0304,0x0303;a195b9c006fcb23ab9a2343b0871e362;t13d1715h1_5b57614c22b0_da9aa2e0e994;t13d1715h1_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,001c,0022,0029,002b,002d,0033,fe0d,ff01_0403,0503,0603,0203,0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;MozillFirefox;0;4865;41-51-43;0x0304;2b0648ab686ee45e0e7c35fcfb0eea7e;t130300_1301_6bbbaf601ed8;t130300_1301_0029,0033,002b;tests/ondra3/20240809/MozillFirefox_20240809-extracted.csv;0
172.17.145.255;34.110.207.168;49753;443;6;accounts.firefox.com;Google LLC, GOOGL-2;771;4865-4867-4866-49195-49199-52393-52392-49196-49200-49162-49161-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-34-51-43-13-45-28-65037;0x001d,0x0017,0x0018,0x0019,0x0100,0x0101;0;h2,http/1.1;0403,0503,0603,0203,0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;0x0304,0x0303;b5001237acdf006056b409cc433726b0;t13d1715h2_5b57614c22b0_9448bd19f75d;t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,001c,0022,0023,002b,002d,0033,fe0d,ff01_0403,0503,0603,0203,0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;MozillFirefox;0;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240809/MozillFirefox_20240809-extracted.csv;0
172.17.145.255;34.117.121.53;49768;443;6;firefox-settings-attachments.cdn.mozilla.net;Google LLC, GOOGL-2;771;49195-49199-52393-52392-49196-49200-49162-49161-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-28;0x001d,0x0017,0x0018,0x0019;0;h2,http/1.1;0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;;fb0aa01abe9d8e4037eb3473ca6e2dca;t12d1410h2_c866b44c5a26_b5b8faed2b99;t12d1410h2_002f,0035,009c,009d,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,001c,0023,ff01_0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;MozillFirefox;0;49199;23-65281-11-35-16;;9d9ce860f1b1cbef07b019450cb368d8;t1205h2_c02f_4993ccf7354b;t1205h2_c02f_0017,ff01,000b,0023;tests/ondra3/20240809/MozillFirefox_20240809-extracted.csv;0
172.17.145.255;34.117.121.53;49770;443;6;firefox-settings-attachments.cdn.mozilla.net;Google LLC, GOOGL-2;771;4865-4867-4866-49195-49199-52393-52392-49196-49200-49162-49161-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-34-51-43-13-45-28-65037;0x001d,0x0017,0x0018,0x0019,0x0100,0x0101;0;h2,http/1.1;0403,0503,0603,0203,0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;0x0304,0x0303;b5001237acdf006056b409cc433726b0;t13d1715h2_5b57614c22b0_9448bd19f75d;t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,001c,0022,0023,002b,002d,0033,fe0d,ff01_0403,0503,0603,0203,0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;MozillFirefox;0;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240809/MozillFirefox_20240809-extracted.csv;0
172.17.145.255;34.117.188.166;49751;443;6;contile.services.mozilla.com;Google LLC, GOOGL-2;771;4865-4867-4866-49195-49199-52393-52392-49196-49200-49162-49161-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-34-51-43-13-45-28-65037;0x001d,0x0017,0x0018,0x0019,0x0100,0x0101;0;h2,http/1.1;0403,0503,0603,0203,0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;0x0304,0x0303;b5001237acdf006056b409cc433726b0;t13d1715h2_5b57614c22b0_9448bd19f75d;t13d1715h2_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,001c,0022,0023,002b,002d,0033,fe0d,ff01_0403,0503,0603,0203,0403,0503,0603,0804,0805,0806,0401,0501,0601,0203,0201;MozillFirefox;0;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/ondra3/20240809/MozillFirefox_20240809-extracted.csv;0
