SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
172.17.157.191;104.237.62.213;49732;443;6;api64.ipify.org;WebNX, Inc., WEBNX-BLK-13;771;49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47-10;0-5-10-11-13-35-23-65281;0x001d,0x0017,0x0018;0;;0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;;a0e9f5d64349fb13191bc781f81f42e1;t12d190800_d83cc789557e_7af1ed941c26;t12d190800_000a,002f,0035,003c,003d,009c,009d,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030_0005,000a,000b,000d,0017,0023,ff01_0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;RkutenViber;0;49200;65281-0-11-35-23;;567bb420d39046dbfd1f68b558d86382;t120500_c030_12a20535f9be;t120500_c030_ff01,000b,0023,0017;tests/ondra3/20240811/RkutenViber_20240811-extracted.csv;0
172.17.157.191;107.178.240.159;49742;443;6;api.mixpanel.com;Google LLC, GOOGLE-CLOUD;771;49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47-10;0-5-10-11-13-35-23-65281;0x001d,0x0017,0x0018;0;;0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;;a0e9f5d64349fb13191bc781f81f42e1;t12d190800_d83cc789557e_7af1ed941c26;t12d190800_000a,002f,0035,003c,003d,009c,009d,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030_0005,000a,000b,000d,0017,0023,ff01_0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;RkutenViber;A;49199;23-65281-11-35;;b44baa8a20901c5663b3a9664ba8a767;t120400_c02f_4993ccf7354b;t120400_c02f_0017,ff01,000b,0023;tests/ondra3/20240811/RkutenViber_20240811-extracted.csv;0
172.17.157.191;13.32.110.117;49767;443;6;www.cust-service.com;Amazon.com, Inc., AMAZO-CF;771;49196-49195-49200-49199-159-158-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47-10;0-5-10-11-13-35-23-65281;0x001d,0x0017,0x0018;0;;0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;;ce5f3254611a8c095a3d821d44539877;t12d210800_76e208dd3e22_7af1ed941c26;t12d210800_000a,002f,0035,003c,003d,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030_0005,000a,000b,000d,0017,0023,ff01_0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;RkutenViber;0;49199;0-11-65281-5-35-23;;7da0ae90f9693272ed42e89898421495;t120600_c02f_2411d94cc0c2;t120600_c02f_000b,ff01,0005,0023,0017;tests/ondra3/20240811/RkutenViber_20240811-extracted.csv;0
172.17.157.191;18.206.36.255;49765;443;6;secure.viber.com;Amazon Technologies Inc., AT-88-Z;771;49196-49195-49200-49199-159-158-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47-10;0-5-10-11-13-35-23-65281;0x001d,0x0017,0x0018;0;;0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;;ce5f3254611a8c095a3d821d44539877;t12d210800_76e208dd3e22_7af1ed941c26;t12d210800_000a,002f,0035,003c,003d,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030_0005,000a,000b,000d,0017,0023,ff01_0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;RkutenViber;0;49199;0-11-65281-35-23;;2ab44dd8c27bdce434a961463587356a;t120500_c02f_7c777c72cf5b;t120500_c02f_000b,ff01,0023,0017;tests/ondra3/20240811/RkutenViber_20240811-extracted.csv;0
172.17.157.191;18.66.27.115;49766;443;6;acr.amplreq.com;Amazon.com, Inc., AMAZO-CF;771;49196-49195-49200-49199-159-158-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47-10;0-5-10-11-13-35-23-65281;0x001d,0x0017,0x0018;0;;0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;;ce5f3254611a8c095a3d821d44539877;t12d210800_76e208dd3e22_7af1ed941c26;t12d210800_000a,002f,0035,003c,003d,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030_0005,000a,000b,000d,0017,0023,ff01_0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;RkutenViber;0;49199;0-11-65281-5-35-23;;7da0ae90f9693272ed42e89898421495;t120600_c02f_2411d94cc0c2;t120600_c02f_000b,ff01,0005,0023,0017;tests/ondra3/20240811/RkutenViber_20240811-extracted.csv;0
172.17.157.191;20.82.9.214;49730;443;6;checkappexec.microsoft.com;Microsoft Corporation, MSFT;771;49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47-10;0-5-10-11-13-35-16-23-65281;0x001d,0x0017,0x0018;0;h2,http/1.1;0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;;28a2c9bd18a11de089ef85a160da29e4;t12d1909h2_d83cc789557e_7af1ed941c26;t12d1909h2_000a,002f,0035,003c,003d,009c,009d,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030_0005,000a,000b,000d,0017,0023,ff01_0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;RkutenViber;0;49199;65281-0-11-35-16-23;;00447ab319e9d94ba2b4c1248e155917;t1206h2_c02f_12a20535f9be;t1206h2_c02f_ff01,000b,0023,0017;tests/ondra3/20240811/RkutenViber_20240811-extracted.csv;0
172.17.157.191;20.82.9.214;49735;443;6;apprep.smartscreen.microsoft.com;Microsoft Corporation, MSFT;771;49196-49195-49200-49199-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47-10;0-5-10-11-13-35-16-23-65281;0x001d,0x0017,0x0018;0;h2,http/1.1;0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;;28a2c9bd18a11de089ef85a160da29e4;t12d1909h2_d83cc789557e_7af1ed941c26;t12d1909h2_000a,002f,0035,003c,003d,009c,009d,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030_0005,000a,000b,000d,0017,0023,ff01_0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;RkutenViber;0;49199;65281-0-11-35-16-23;;00447ab319e9d94ba2b4c1248e155917;t1206h2_c02f_12a20535f9be;t1206h2_c02f_ff01,000b,0023,0017;tests/ondra3/20240811/RkutenViber_20240811-extracted.csv;0
172.17.157.191;3.161.119.67;49772;443;6;download.cdn.viber.com;Amazon.com, Inc., AMAZON-CF;771;49196-49195-49200-49199-159-158-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47-10;0-5-10-11-13-35-23-65281;0x001d,0x0017,0x0018;0;;0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;;ce5f3254611a8c095a3d821d44539877;t12d210800_76e208dd3e22_7af1ed941c26;t12d210800_000a,002f,0035,003c,003d,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030_0005,000a,000b,000d,0017,0023,ff01_0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;RkutenViber;0;49199;0-11-65281-5-35-23;;7da0ae90f9693272ed42e89898421495;t120600_c02f_2411d94cc0c2;t120600_c02f_000b,ff01,0005,0023,0017;tests/ondra3/20240811/RkutenViber_20240811-extracted.csv;0
172.17.157.191;4.152.45.219;49736;443;6;in.appcenter.ms;Microsoft Corporation, MSFT;771;49196-49195-49200-49199-159-158-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47-10;0-10-11-13-35-23-65281;0x001d,0x0017,0x0018;0;;0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;;3b5074b1b5d032e5620f69f9f700ff0e;t12d210700_76e208dd3e22_2dae41c691ec;t12d210700_000a,002f,0035,003c,003d,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030_000a,000b,000d,0017,0023,ff01_0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;RkutenViber;0;49200;0-65281-11-35;;758945630046fd37070521b8544d1fe8;t120400_c030_bec8bdbaef8a;t120400_c030_ff01,000b,0023;tests/ondra3/20240811/RkutenViber_20240811-extracted.csv;0
172.17.157.191;4.152.45.219;49737;443;6;in.appcenter.ms;Microsoft Corporation, MSFT;771;49196-49195-49200-49199-159-158-49188-49187-49192-49191-49162-49161-49172-49171-157-156-61-60-53-47-10;0-10-11-13-35-23-65281;0x001d,0x0017,0x0018;0;;0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;;3b5074b1b5d032e5620f69f9f700ff0e;t12d210700_76e208dd3e22_2dae41c691ec;t12d210700_000a,002f,0035,003c,003d,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030_000a,000b,000d,0017,0023,ff01_0804,0805,0806,0401,0501,0201,0403,0503,0203,0202,0601,0603;RkutenViber;0;49200;0-65281-11-35;;758945630046fd37070521b8544d1fe8;t120400_c030_bec8bdbaef8a;t120400_c030_ff01,000b,0023;tests/ondra3/20240811/RkutenViber_20240811-extracted.csv;0
