SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
131.202.240.150;173.194.123.101;37112;443;6;safebrowsing.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-50-57-47-53-10;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;1e67431b78a64adf42e0fee804fb15e5;t12d1209h5_d6df81a36f88_50e68031a889;t12d1209h5_000a,002f,0032,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;facebook;0;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205h5_c02b_bec8bdbaef8a;t1205h5_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/facebook_audio2a-extracted.csv;0
131.202.240.150;173.194.123.119;34009;443;6;ssl.gstatic.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-30032-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;abc1a35e54c287a7db729c8e82c61871;t12d1812s1_27d4652c4487_e278c6a1a25f;t12d1812s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;facebook;A;49195;65281-30032-16;;29cc2b00a1a6ebc9008fb960b0d32ca0;t1203h4_c02b_180400b49650;t1203h4_c02b_ff01,7550;tests/iscx-vpn-novpn-2016/facebook_audio2a-extracted.csv;0
131.202.240.150;173.194.123.124;45944;443;6;ad.doubleclick.net;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-50-57-47-53-10;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;1e67431b78a64adf42e0fee804fb15e5;t12d1209h5_d6df81a36f88_50e68031a889;t12d1209h5_000a,002f,0032,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;facebook;A;49199;0-65281-11-35-16;;b898351eb5e266aefd3723d466935494;t1205h5_c02f_bec8bdbaef8a;t1205h5_c02f_ff01,000b,0023;tests/iscx-vpn-novpn-2016/facebook_audio2a-extracted.csv;0
131.202.240.150;173.194.123.70;43526;443;6;safebrowsing-cache.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-50-57-47-53-10;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;1e67431b78a64adf42e0fee804fb15e5;t12d1209h5_d6df81a36f88_50e68031a889;t12d1209h5_000a,002f,0032,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;facebook;0;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205h5_c02b_bec8bdbaef8a;t1205h5_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/facebook_audio2a-extracted.csv;0
131.202.240.150;173.252.100.27;56833;443;6;edge-chat.facebook.com;Facebook, Inc., FACEBOOK-INC;771;49195-49199-49162-49161-49171-49172-51-50-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;cb986deb1c471bb53a135ac3d264bbc9;t12d1210h5_d6df81a36f88_3f182aacf7dd;t12d1210h5_000a,002f,0032,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;facebook;0;49195;65281-13172;;4cc50ba5d592603b2a117a232874da0a;t120200_c02b_8102b28bc821;t120200_c02b_ff01,3374;tests/iscx-vpn-novpn-2016/facebook_audio2a-extracted.csv;0
131.202.240.150;209.148.205.16;60694;443;6;fbcdn-creative-a.akamaihd.net;Rogers Communications Canada Inc., ROGERS-COM-RTI;771;49195-49199-49162-49161-49171-49172-51-50-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;cb986deb1c471bb53a135ac3d264bbc9;t12d1210h5_d6df81a36f88_3f182aacf7dd;t12d1210h5_000a,002f,0032,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;facebook;0;47;13172;;d20f67338c838e0c19a9809fead89be9;t120100_002f_f816a68bcf1a;t120100_002f_3374;tests/iscx-vpn-novpn-2016/facebook_audio2a-extracted.csv;0
131.202.240.150;209.148.205.26;45125;443;6;fbstatic-a.akamaihd.net;Rogers Communications Canada Inc., ROGERS-COM-RTI;771;49195-49199-49162-49161-49171-49172-51-50-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;cb986deb1c471bb53a135ac3d264bbc9;t12d1210h5_d6df81a36f88_3f182aacf7dd;t12d1210h5_000a,002f,0032,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;facebook;0;47;13172;;d20f67338c838e0c19a9809fead89be9;t120100_002f_f816a68bcf1a;t120100_002f_3374;tests/iscx-vpn-novpn-2016/facebook_audio2a-extracted.csv;0
131.202.240.150;209.148.205.35;50800;443;6;fbcdn-creative-a.akamaihd.net;Rogers Communications Canada Inc., ROGERS-COM-RTI;771;49195-49199-49162-49161-49171-49172-51-50-57-47-53-10;0-65281-10-11-35-13172-16-5-13-21;0x0017,0x0018,0x0019;0;h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;cb986deb1c471bb53a135ac3d264bbc9;t12d1210h5_d6df81a36f88_3f182aacf7dd;t12d1210h5_000a,002f,0032,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;facebook;0
131.202.240.150;216.58.219.238;47563;443;6;clients2.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;facebook;A;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h4_c02b_bc98f8e001b5;t1202h4_c02b_ff01;tests/iscx-vpn-novpn-2016/facebook_audio2a-extracted.csv;0
131.202.240.150;54.243.71.182;46059;443;6;sp1.convertro.com;Amazon Data Services NoVa, AMAZON-IAD;771;49195-49199-49162-49161-49171-49172-51-50-57-47-53-10;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;1e67431b78a64adf42e0fee804fb15e5;t12d1209h5_d6df81a36f88_50e68031a889;t12d1209h5_000a,002f,0032,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;facebook;A;47;65281-35;;c67e8b533a9001ce4e36883b8d3489c4;t120200_002f_2412b79bd618;t120200_002f_ff01,0023;tests/iscx-vpn-novpn-2016/facebook_audio2a-extracted.csv;0
