SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
10.0.2.15;131.253.61.82;49316;443;6;login.live.com;Microsoft Corp, MICROSOFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;facebook;0;49192;5-65281;;cf604889f807e0ae23e9eec3e71f2671;t120200_c028_fee41c0d62a8;t120200_c028_0005,ff01;tests/iscx-vpn-novpn-2016/facebook_audio3-extracted.csv;0
10.0.2.15;131.253.61.82;49320;443;6;login.live.com;Microsoft Corp, MICROSOFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;facebook;0;49192;5-65281;;cf604889f807e0ae23e9eec3e71f2671;t120200_c028_fee41c0d62a8;t120200_c028_0005,ff01;tests/iscx-vpn-novpn-2016/facebook_audio3-extracted.csv;0
10.0.2.15;131.253.61.82;49321;443;6;login.live.com;Microsoft Corp, MICROSOFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;facebook;0;49192;5-65281;;cf604889f807e0ae23e9eec3e71f2671;t120200_c028_fee41c0d62a8;t120200_c028_0005,ff01;tests/iscx-vpn-novpn-2016/facebook_audio3-extracted.csv;0
10.0.2.15;134.170.120.72;49319;443;6;windows.policies.live.net;Microsoft Corp, MICROSOFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;facebook;0;49192;5-65281;;cf604889f807e0ae23e9eec3e71f2671;t120200_c028_fee41c0d62a8;t120200_c028_0005,ff01;tests/iscx-vpn-novpn-2016/facebook_audio3-extracted.csv;0
10.0.2.15;137.116.32.77;49288;443;6;b.config.skype.com;Microsoft Corp, MICROSOFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;facebook;0;49192;5-65281;;cf604889f807e0ae23e9eec3e71f2671;t120200_c028_fee41c0d62a8;t120200_c028_0005,ff01;tests/iscx-vpn-novpn-2016/facebook_audio3-extracted.csv;0
10.0.2.15;137.116.64.98;49246;443;6;nexus.officeapps.live.com;Microsoft Corp, MICROSOFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;facebook;0;49192;5-65281;;cf604889f807e0ae23e9eec3e71f2671;t120200_c028_fee41c0d62a8;t120200_c028_0005,ff01;tests/iscx-vpn-novpn-2016/facebook_audio3-extracted.csv;0
10.0.2.15;168.63.104.53;49256;443;6;nexus.officeapps.live.com;Microsoft Corp, MICROSOFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;facebook;0;49192;5-65281;;cf604889f807e0ae23e9eec3e71f2671;t120200_c028_fee41c0d62a8;t120200_c028_0005,ff01;tests/iscx-vpn-novpn-2016/facebook_audio3-extracted.csv;0
10.0.2.15;168.63.104.53;49271;443;6;nexus.officeapps.live.com;Microsoft Corp, MICROSOFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;facebook;0;49192;5-65281;;cf604889f807e0ae23e9eec3e71f2671;t120200_c028_fee41c0d62a8;t120200_c028_0005,ff01;tests/iscx-vpn-novpn-2016/facebook_audio3-extracted.csv;0
10.0.2.15;168.63.240.114;49294;443;6;nexus.officeapps.live.com;Microsoft Corp, MICROSOFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;facebook;0;49192;5-65281;;cf604889f807e0ae23e9eec3e71f2671;t120200_c028_fee41c0d62a8;t120200_c028_0005,ff01;tests/iscx-vpn-novpn-2016/facebook_audio3-extracted.csv;0
10.0.2.15;173.194.123.100;49260;443;6;clients4.google.com;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-11-10;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;f02d328c8f92c34a27f6589d8e8d7655;t12d2110h1_f51103c65f73_b0efb93b7816;t12d2110h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0017,0023,3374_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;facebook;A;52244;0-65281-11-35-16;;f8b5bd618b058a2a66449d4c3bd338a0;t1205h4_cc14_bec8bdbaef8a;t1205h4_cc14_ff01,000b,0023;tests/iscx-vpn-novpn-2016/facebook_audio3-extracted.csv;0
