SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
131.202.240.86;131.253.34.162;2075;443;6;flex.msn.com;Microsoft Corp, MICROSOFT;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;A;49191;65281;;70b9168e9fd446fb5ac938f381785e62;t120100_c027_bc98f8e001b5;t120100_c027_ff01;tests/iscx-vpn-novpn-2016/skype_audio1b-extracted.csv;0
131.202.240.86;131.253.34.162;2101;443;6;flex.msn.com;Microsoft Corp, MICROSOFT;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;A;49191;65281;;70b9168e9fd446fb5ac938f381785e62;t120100_c027_bc98f8e001b5;t120100_c027_ff01;tests/iscx-vpn-novpn-2016/skype_audio1b-extracted.csv;0
131.202.240.86;131.253.34.162;2102;443;6;flex.msn.com;Microsoft Corp, MICROSOFT;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;A;49191;65281;;70b9168e9fd446fb5ac938f381785e62;t120100_c027_bc98f8e001b5;t120100_c027_ff01;tests/iscx-vpn-novpn-2016/skype_audio1b-extracted.csv;0
131.202.240.86;131.253.34.162;2149;443;6;flex.msn.com;Microsoft Corp, MICROSOFT;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;A;49191;65281;;70b9168e9fd446fb5ac938f381785e62;t120100_c027_bc98f8e001b5;t120100_c027_ff01;tests/iscx-vpn-novpn-2016/skype_audio1b-extracted.csv;0
131.202.240.86;138.108.6.20;2115;443;6;secure-us.imrworldwide.com;Nielsen Consumer LLC, NCL-203;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;A;53;65281;;91589ea825a2ee41810c85fab06d2ef6;t100100_0035_bc98f8e001b5;t100100_0035_ff01;tests/iscx-vpn-novpn-2016/skype_audio1b-extracted.csv;0
131.202.240.86;173.192.220.67;2091;443;6;stags.bluekai.com;SoftLayer Technologies Inc., SOFTLAYER-4-8;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;A;4;65281;;c253ec3ad88e42f8da4032682892f9a0;t120100_0004_bc98f8e001b5;t120100_0004_ff01;tests/iscx-vpn-novpn-2016/skype_audio1b-extracted.csv;0
131.202.240.86;173.194.123.120;2095;443;6;www.gstatic.com;Google LLC, GOOGLE;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;A;49195;0-65281-11;;77aba8c2fc7af389a21affb0253db465;t120300_c02b_344b4dce5a52;t120300_c02b_ff01,000b;tests/iscx-vpn-novpn-2016/skype_audio1b-extracted.csv;0
131.202.240.86;173.194.123.121;2081;443;6;pagead2.googlesyndication.com;Google LLC, GOOGLE;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;A;49195;0-65281-11;;77aba8c2fc7af389a21affb0253db465;t120300_c02b_344b4dce5a52;t120300_c02b_ff01,000b;tests/iscx-vpn-novpn-2016/skype_audio1b-extracted.csv;0
131.202.240.86;173.194.123.121;2132;443;6;pagead2.googlesyndication.com;Google LLC, GOOGLE;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;A;49195;0-65281-11;;77aba8c2fc7af389a21affb0253db465;t120300_c02b_344b4dce5a52;t120300_c02b_ff01,000b;tests/iscx-vpn-novpn-2016/skype_audio1b-extracted.csv;0
131.202.240.86;173.194.123.122;2135;443;6;cm.g.doubleclick.net;Google LLC, GOOGLE;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;A;49171;65281;;5a450169db1f168548fb87aa841fe743;t120100_c013_bc98f8e001b5;t120100_c013_ff01;tests/iscx-vpn-novpn-2016/skype_audio1b-extracted.csv;0
