SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
10.0.2.15;173.194.123.104;56231;443;6;clients2.google.com;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-11-10;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;f02d328c8f92c34a27f6589d8e8d7655;t12d2110h1_f51103c65f73_b0efb93b7816;t12d2110h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0017,0023,3374_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;skype;A;52244;0-65281-11-35-16;;f8b5bd618b058a2a66449d4c3bd338a0;t1205h4_cc14_bec8bdbaef8a;t1205h4_cc14_ff01,000b,0023;tests/iscx-vpn-novpn-2016/skype_audio4-extracted.csv;0
10.0.2.15;173.194.123.4;56244;443;6;safebrowsing.google.com;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-30032-11-10-21;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;5a489a505f33a7dcb268b7354373e8d6;t12d2112h1_f51103c65f73_376797587902;t12d2112h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0015,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;skype;0;52244;65281-30032-16;;06d4992ac92521e6b1a490abcae59100;t1203h4_cc14_180400b49650;t1203h4_cc14_ff01,7550;tests/iscx-vpn-novpn-2016/skype_audio4-extracted.csv;0
10.0.2.15;173.194.207.95;56239;443;6;www.googleapis.com;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-30032-11-10-21;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;5a489a505f33a7dcb268b7354373e8d6;t12d2112h1_f51103c65f73_376797587902;t12d2112h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0015,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;skype;A;52243;65281-30032-16;;698876bbc42d7bf2ab76320b373e407c;t1203h4_cc13_180400b49650;t1203h4_cc13_ff01,7550;tests/iscx-vpn-novpn-2016/skype_audio4-extracted.csv;0
10.0.2.15;216.58.219.206;56235;443;6;clients4.google.com;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-11-10-21;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;47cfb3a3da460775e410835b7c53e9a5;t12d2111h1_f51103c65f73_5a9823495375;t12d2111h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0015,0017,0023,3374_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;skype;A;52244;65281-16;;37a7d9e50866bded8cc7d00d43d28c8f;t1202h4_cc14_bc98f8e001b5;t1202h4_cc14_ff01;tests/iscx-vpn-novpn-2016/skype_audio4-extracted.csv;0
10.0.2.15;216.58.219.237;56233;443;6;accounts.google.com;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-11-10-21;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;47cfb3a3da460775e410835b7c53e9a5;t12d2111h1_f51103c65f73_5a9823495375;t12d2111h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0015,0017,0023,3374_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;skype;A;52243;65281-16;;c37fb35a8889a06d0e2662986ac56581;t1202h4_cc13_bc98f8e001b5;t1202h4_cc13_ff01;tests/iscx-vpn-novpn-2016/skype_audio4-extracted.csv;0
10.0.2.15;23.195.216.184;56245;443;6;apps.skype.com;Akamai Technologies, Inc., AKAMAI;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;skype;0;49192;0-65281-11;;245de059547a730e42852c315cdc5a02;t120300_c028_344b4dce5a52;t120300_c028_ff01,000b;tests/iscx-vpn-novpn-2016/skype_audio4-extracted.csv;0
10.0.2.15;65.54.225.168;56236;443;6;bay407-m.hotmail.com;Microsoft Corporation, MICROSOFT-1BLK;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;skype;0;49192;65281;;a70303593a393dfd863b76d9da6c3ace;t120100_c028_bc98f8e001b5;t120100_c028_ff01;tests/iscx-vpn-novpn-2016/skype_audio4-extracted.csv;0
10.0.2.15;65.54.225.168;56237;443;6;bay407-m.hotmail.com;Microsoft Corporation, MICROSOFT-1BLK;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;skype;0;49192;65281;;a70303593a393dfd863b76d9da6c3ace;t120100_c028_bc98f8e001b5;t120100_c028_ff01;tests/iscx-vpn-novpn-2016/skype_audio4-extracted.csv;0
10.0.2.15;65.54.225.168;56238;443;6;bay407-m.hotmail.com;Microsoft Corporation, MICROSOFT-1BLK;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19;65281-0-5-10-11-13-35;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;765f7fb49e4a4275fee02c23b92e61c4;t12d240700_9295eb73ea51_da301434ac5b;t12d240700_000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0401,0501,0201,0403,0503,0203,0202;skype;0;49192;65281;;a70303593a393dfd863b76d9da6c3ace;t120100_c028_bc98f8e001b5;t120100_c028_ff01;tests/iscx-vpn-novpn-2016/skype_audio4-extracted.csv;0
10.0.2.15;74.125.226.161;56234;443;6;clients4.google.com;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-30032-11-10-21;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;5a489a505f33a7dcb268b7354373e8d6;t12d2112h1_f51103c65f73_376797587902;t12d2112h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0015,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;skype;A;52244;65281-30032-16;;06d4992ac92521e6b1a490abcae59100;t1203h4_cc14_180400b49650;t1203h4_cc14_ff01,7550;tests/iscx-vpn-novpn-2016/skype_audio4-extracted.csv;0
