SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
131.202.240.87;104.45.158.137;11373;443;6;pipe.skype.com;Microsoft Corporation, MSFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19-5-4;0-5-10-11-13-35-65281;0x0017,0x0018;0;;0601,0603,0401,0501,0201,0403,0503,0203,0202;;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;t12d260700_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0601,0603,0401,0501,0201,0403,0503,0203,0202;skype;0;49192;65281;;a70303593a393dfd863b76d9da6c3ace;t120100_c028_bc98f8e001b5;t120100_c028_ff01;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;104.45.158.137;11410;443;6;pipe.skype.com;Microsoft Corporation, MSFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19-5-4;0-5-10-11-13-35-65281;0x0017,0x0018;0;;0601,0603,0401,0501,0201,0403,0503,0203,0202;;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;t12d260700_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0601,0603,0401,0501,0201,0403,0503,0203,0202;skype;0;49192;65281;;a70303593a393dfd863b76d9da6c3ace;t120100_c028_bc98f8e001b5;t120100_c028_ff01;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;104.45.158.137;11472;443;6;pipe.skype.com;Microsoft Corporation, MSFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19-5-4;0-5-10-11-13-35-65281;0x0017,0x0018;0;;0601,0603,0401,0501,0201,0403,0503,0203,0202;;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;t12d260700_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0601,0603,0401,0501,0201,0403,0503,0203,0202;skype;0;49192;65281;;a70303593a393dfd863b76d9da6c3ace;t120100_c028_bc98f8e001b5;t120100_c028_ff01;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;107.21.103.88;11343;443;6;l.betrad.com;Amazon.com, Inc., AMAZON-EC2-8;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19-5-4;0-5-10-11-13-35-65281;0x0017,0x0018;0;;0601,0603,0401,0501,0201,0403,0503,0203,0202;;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;t12d260700_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0601,0603,0401,0501,0201,0403,0503,0203,0202;skype;A;53;65281-35;;714ac86d50db68420429ca897688f5f3;t100200_0035_2412b79bd618;t100200_0035_ff01,0023;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;131.202.6.26;11442;13000;6;;University of New Brunswick, UNB-IPNET;771;49200-49196-49192-49188-49172-49162-49186-49185-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49170-49160-49180-49179-22-19-49165-49155-10-49199-49195-49191-49187-49171-49161-49183-49182-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-7-49169-49159-49164-49154-5-4-21-18-9-20-17-8-6-3-255;11-10-35-13;0x000e,0x000d,0x0019,0x000b,0x000c,0x0018,0x0009,0x000a,0x0016,0x0017,0x0008,0x0006,0x0007,0x0014,0x0015,0x0004,0x0005,0x0012,0x0013,0x0001,0x0002,0x0003,0x000f,0x0010,0x0011;0,1,2;;0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;;1a6fa4f374abe0eef3d3a5e7f2777127;t12i800400_15c493246000_c70a3c84db07;t12i800400_0003,0004,0005,0006,0007,0008,0009,000a,0011,0012,0013,0014,0015,0016,002f,0032,0033,0035,0038,0039,003c,003d,0040,0041,0044,0045,0067,006a,006b,0084,0087,0088,0096,0099,009a,009c,009d,009e,009f,00a2,00a3,00ff,c002,c003,c004,c005,c007,c008,c009,c00a,c00c,c00d,c00e,c00f,c011,c012,c013,c014,c01b,c01c,c01e,c01f,c021,c022,c023,c024,c025,c026,c027,c028,c029,c02a,c02b,c02c,c02d,c02e,c02f,c030,c031,c032_000a,000b,000d,0023_0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;skype;0;157;65281-35;;7c02dbae662670040c7af9bd15fb7e2f;t120200_009d_2412b79bd618;t120200_009d_ff01,0023;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;131.202.6.26;11454;13000;6;;University of New Brunswick, UNB-IPNET;771;49200-49196-49192-49188-49172-49162-49186-49185-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49170-49160-49180-49179-22-19-49165-49155-10-49199-49195-49191-49187-49171-49161-49183-49182-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-7-49169-49159-49164-49154-5-4-21-18-9-20-17-8-6-3-255;11-10-35-13;0x000e,0x000d,0x0019,0x000b,0x000c,0x0018,0x0009,0x000a,0x0016,0x0017,0x0008,0x0006,0x0007,0x0014,0x0015,0x0004,0x0005,0x0012,0x0013,0x0001,0x0002,0x0003,0x000f,0x0010,0x0011;0,1,2;;0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;;1a6fa4f374abe0eef3d3a5e7f2777127;t12i800400_15c493246000_c70a3c84db07;t12i800400_0003,0004,0005,0006,0007,0008,0009,000a,0011,0012,0013,0014,0015,0016,002f,0032,0033,0035,0038,0039,003c,003d,0040,0041,0044,0045,0067,006a,006b,0084,0087,0088,0096,0099,009a,009c,009d,009e,009f,00a2,00a3,00ff,c002,c003,c004,c005,c007,c008,c009,c00a,c00c,c00d,c00e,c00f,c011,c012,c013,c014,c01b,c01c,c01e,c01f,c021,c022,c023,c024,c025,c026,c027,c028,c029,c02a,c02b,c02c,c02d,c02e,c02f,c030,c031,c032_000a,000b,000d,0023_0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;skype;0;157;65281-35;;7c02dbae662670040c7af9bd15fb7e2f;t120200_009d_2412b79bd618;t120200_009d_ff01,0023;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;131.202.6.26;11473;13000;6;;University of New Brunswick, UNB-IPNET;771;49200-49196-49192-49188-49172-49162-49186-49185-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49170-49160-49180-49179-22-19-49165-49155-10-49199-49195-49191-49187-49171-49161-49183-49182-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-7-49169-49159-49164-49154-5-4-21-18-9-20-17-8-6-3-255;11-10-35-13;0x000e,0x000d,0x0019,0x000b,0x000c,0x0018,0x0009,0x000a,0x0016,0x0017,0x0008,0x0006,0x0007,0x0014,0x0015,0x0004,0x0005,0x0012,0x0013,0x0001,0x0002,0x0003,0x000f,0x0010,0x0011;0,1,2;;0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;;1a6fa4f374abe0eef3d3a5e7f2777127;t12i800400_15c493246000_c70a3c84db07;t12i800400_0003,0004,0005,0006,0007,0008,0009,000a,0011,0012,0013,0014,0015,0016,002f,0032,0033,0035,0038,0039,003c,003d,0040,0041,0044,0045,0067,006a,006b,0084,0087,0088,0096,0099,009a,009c,009d,009e,009f,00a2,00a3,00ff,c002,c003,c004,c005,c007,c008,c009,c00a,c00c,c00d,c00e,c00f,c011,c012,c013,c014,c01b,c01c,c01e,c01f,c021,c022,c023,c024,c025,c026,c027,c028,c029,c02a,c02b,c02c,c02d,c02e,c02f,c030,c031,c032_000a,000b,000d,0023_0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;skype;0;157;65281-35;;7c02dbae662670040c7af9bd15fb7e2f;t120200_009d_2412b79bd618;t120200_009d_ff01,0023;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;131.202.6.26;11474;13000;6;;University of New Brunswick, UNB-IPNET;771;49200-49196-49192-49188-49172-49162-49186-49185-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49170-49160-49180-49179-22-19-49165-49155-10-49199-49195-49191-49187-49171-49161-49183-49182-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-7-49169-49159-49164-49154-5-4-21-18-9-20-17-8-6-3-255;11-10-35-13;0x000e,0x000d,0x0019,0x000b,0x000c,0x0018,0x0009,0x000a,0x0016,0x0017,0x0008,0x0006,0x0007,0x0014,0x0015,0x0004,0x0005,0x0012,0x0013,0x0001,0x0002,0x0003,0x000f,0x0010,0x0011;0,1,2;;0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;;1a6fa4f374abe0eef3d3a5e7f2777127;t12i800400_15c493246000_c70a3c84db07;t12i800400_0003,0004,0005,0006,0007,0008,0009,000a,0011,0012,0013,0014,0015,0016,002f,0032,0033,0035,0038,0039,003c,003d,0040,0041,0044,0045,0067,006a,006b,0084,0087,0088,0096,0099,009a,009c,009d,009e,009f,00a2,00a3,00ff,c002,c003,c004,c005,c007,c008,c009,c00a,c00c,c00d,c00e,c00f,c011,c012,c013,c014,c01b,c01c,c01e,c01f,c021,c022,c023,c024,c025,c026,c027,c028,c029,c02a,c02b,c02c,c02d,c02e,c02f,c030,c031,c032_000a,000b,000d,0023_0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;skype;0;157;65281-35;;7c02dbae662670040c7af9bd15fb7e2f;t120200_009d_2412b79bd618;t120200_009d_ff01,0023;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;131.253.34.162;11384;443;6;flex.msn.com;Microsoft Corp, MICROSOFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19-5-4;0-5-10-11-13-35-65281;0x0017,0x0018;0;;0601,0603,0401,0501,0201,0403,0503,0203,0202;;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;t12d260700_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0601,0603,0401,0501,0201,0403,0503,0203,0202;skype;A;49192;65281;;a70303593a393dfd863b76d9da6c3ace;t120100_c028_bc98f8e001b5;t120100_c028_ff01;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;131.253.34.162;11423;443;6;flex.msn.com;Microsoft Corp, MICROSOFT;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19-5-4;0-5-10-11-13-35-65281;0x0017,0x0018;0;;0601,0603,0401,0501,0201,0403,0503,0203,0202;;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;t12d260700_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0601,0603,0401,0501,0201,0403,0503,0203,0202;skype;A;49192;65281;;a70303593a393dfd863b76d9da6c3ace;t120100_c028_bc98f8e001b5;t120100_c028_ff01;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;173.194.123.123;11499;443;6;s0.2mdn.net;Google LLC, GOOGLE;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19-5-4;0-5-10-11-13-35-65281;0x0017,0x0018;0;;0601,0603,0401,0501,0201,0403,0503,0203,0202;;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;t12d260700_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0601,0603,0401,0501,0201,0403,0503,0203,0202;skype;A;49171;0-65281-11-35;;d7a9785fd65195c3ee2c6c43207af3fb;t120400_c013_bec8bdbaef8a;t120400_c013_ff01,000b,0023;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;208.71.121.1;11293;443;6;t.mookie1.com;mPlatform LLC, XAXIS-V4-1;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19-5-4;0-5-10-11-13-35-65281;0x0017,0x0018;0;;0601,0603,0401,0501,0201,0403,0503,0203,0202;;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;t12d260700_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0601,0603,0401,0501,0201,0403,0503,0203,0202;skype;A;4;65281;;c253ec3ad88e42f8da4032682892f9a0;t120100_0004_bc98f8e001b5;t120100_0004_ff01;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
131.202.240.87;208.71.123.98;11323;443;6;gmtdmp.mookie1.com;mPlatform LLC, XAXIS-V4-1;771;49192-159-158-157-156-49195-49187-49191-49172-49171-61-60-53-47-49196-49188-49162-49161-106-64-56-50-10-19-5-4;0-5-10-11-13-35-65281;0x0017,0x0018;0;;0601,0603,0401,0501,0201,0403,0503,0203,0202;;feb5fef784808df9ee29e72563146ff5;t12d260700_e99a3d2b2b8b_c66d2ff098b4;t12d260700_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,009c,009d,009e,009f,c009,c00a,c013,c014,c023,c024,c027,c028,c02b,c02c_0005,000a,000b,000d,0023,ff01_0601,0603,0401,0501,0201,0403,0503,0203,0202;skype;A;10;65281;;66a6571ef756b3c9e82b3fd802bbcac2;t120100_000a_bc98f8e001b5;t120100_000a_ff01;tests/iscx-vpn-novpn-2016/skype_chat1b-extracted.csv;0
