SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
131.202.240.86;104.45.141.128;10694;443;6;pipe.skype.com;Microsoft Corporation, MSFT;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;0;49191;65281;;70b9168e9fd446fb5ac938f381785e62;t120100_c027_bc98f8e001b5;t120100_c027_ff01;tests/iscx-vpn-novpn-2016/skype_file6-extracted.csv;0
131.202.240.86;104.45.141.128;10707;443;6;pipe.skype.com;Microsoft Corporation, MSFT;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;0;49191;65281;;70b9168e9fd446fb5ac938f381785e62;t120100_c027_bc98f8e001b5;t120100_c027_ff01;tests/iscx-vpn-novpn-2016/skype_file6-extracted.csv;0
131.202.240.86;104.45.141.128;10716;443;6;pipe.skype.com;Microsoft Corporation, MSFT;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;0;49191;65281;;70b9168e9fd446fb5ac938f381785e62;t120100_c027_bc98f8e001b5;t120100_c027_ff01;tests/iscx-vpn-novpn-2016/skype_file6-extracted.csv;0
131.202.240.86;104.45.141.128;10726;443;6;pipe.skype.com;Microsoft Corporation, MSFT;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;0
131.202.240.86;173.194.123.109;10689;443;6;cm.g.doubleclick.net;Google LLC, GOOGLE;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;A;49171;65281;;5a450169db1f168548fb87aa841fe743;t120100_c013_bc98f8e001b5;t120100_c013_ff01;tests/iscx-vpn-novpn-2016/skype_file6-extracted.csv;0
131.202.240.86;205.204.71.150;10691;443;6;cm.adgrx.com;eStruxture Data Centers Inc., NETEL-ARIN-BLK05;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;A;60;0-65281;;666f4a0f5593d53d9f71a48c147a6d20;t120200_003c_bc98f8e001b5;t120200_003c_ff01;tests/iscx-vpn-novpn-2016/skype_file6-extracted.csv;0
131.202.240.86;23.49.84.188;10681;443;6;static.skypeassets.com;Akamai Technologies, Inc., AKAMAI;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;0;5;65281;;f1fa76056f8bc2ceb553ffd1185bac6d;t120100_0005_bc98f8e001b5;t120100_0005_ff01;tests/iscx-vpn-novpn-2016/skype_file6-extracted.csv;0
131.202.240.86;23.49.84.188;10696;443;6;static.skypeassets.com;Akamai Technologies, Inc., AKAMAI;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;0;5;0-65281;;c64fac8fefa9ac4be93676cd10ebb639;t120200_0005_bc98f8e001b5;t120200_0005_ff01;tests/iscx-vpn-novpn-2016/skype_file6-extracted.csv;0
131.202.240.86;23.49.84.188;10697;443;6;static.skypeassets.com;Akamai Technologies, Inc., AKAMAI;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;0;5;65281;;f1fa76056f8bc2ceb553ffd1185bac6d;t120100_0005_bc98f8e001b5;t120100_0005_ff01;tests/iscx-vpn-novpn-2016/skype_file6-extracted.csv;0
131.202.240.86;23.49.84.188;10708;443;6;static.skypeassets.com;Akamai Technologies, Inc., AKAMAI;771;60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4;65281-0-5-10-11-13;0x0017,0x0018;0;;0401,0501,0201,0403,0503,0203,0202;;2a458dd9c65afbcf591cd8c2a194b804;t12d210600_b973bfd88a0e_1da50ec048a3;t12d210600_0004,0005,000a,0013,002f,0032,0035,0038,003c,003d,0040,006a,c009,c00a,c013,c014,c023,c024,c027,c02b,c02c_0005,000a,000b,000d,ff01_0401,0501,0201,0403,0503,0203,0202;skype;0;5;65281;;f1fa76056f8bc2ceb553ffd1185bac6d;t120100_0005_bc98f8e001b5;t120100_0005_ff01;tests/iscx-vpn-novpn-2016/skype_file6-extracted.csv;0
