SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
131.202.240.150;173.194.123.100;57193;443;6;clients4.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;0428c12bc4cb3264a24743d451544648;t12d1811s1_27d4652c4487_06a4338d0495;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;spotify;A;49195;0-65281-11-35-30032-16;;26a3105a04b573d00a21b3e0d98d0b12;t1206h4_c02b_53258dfa7744;t1206h4_c02b_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/spotify1-extracted.csv;0
131.202.240.150;173.194.123.109;33265;443;6;securepubads.g.doubleclick.net;Google LLC, GOOGLE;770;49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10;0-65281-10-11-35-30031-5;0x0017,0x0018,0x0019;0;;;;70bb99ad11e4b97860bb0fedfd4cbaa7;t11d200700_0bf03fa604e3_5435a76a34c4;t11d200700_0004,0005,000a,002f,0032,0033,0035,0039,003c,003d,0067,006b,c007,c009,c00a,c011,c013,c014,c023,c027_0005,000a,000b,0023,754f,ff01_;spotify;A;49171;0-65281-11-35-30031;;1003711122f8d4d69fab7247cf9fe4e4;t110500_c013_055dca938ef7;t110500_c013_ff01,000b,0023,754f;tests/iscx-vpn-novpn-2016/spotify1-extracted.csv;0
131.202.240.150;173.194.123.109;33266;443;6;securepubads.g.doubleclick.net;Google LLC, GOOGLE;770;49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10;0-65281-10-11-35-30031-5;0x0017,0x0018,0x0019;0;;;;70bb99ad11e4b97860bb0fedfd4cbaa7;t11d200700_0bf03fa604e3_5435a76a34c4;t11d200700_0004,0005,000a,002f,0032,0033,0035,0039,003c,003d,0067,006b,c007,c009,c00a,c011,c013,c014,c023,c027_0005,000a,000b,0023,754f,ff01_;spotify;A;49171;65281-30031;;e8389c6ec5da5174fdfcb9d4db942647;t110200_c013_f3e88711b733;t110200_c013_ff01,754f;tests/iscx-vpn-novpn-2016/spotify1-extracted.csv;0
131.202.240.150;173.194.123.122;34045;443;6;www.googletagservices.com;Google LLC, GOOGLE;770;49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10;0-65281-10-11-35-30031-5;0x0017,0x0018,0x0019;0;;;;70bb99ad11e4b97860bb0fedfd4cbaa7;t11d200700_0bf03fa604e3_5435a76a34c4;t11d200700_0004,0005,000a,002f,0032,0033,0035,0039,003c,003d,0067,006b,c007,c009,c00a,c011,c013,c014,c023,c027_0005,000a,000b,0023,754f,ff01_;spotify;A;49171;0-65281-11-35-30031;;1003711122f8d4d69fab7247cf9fe4e4;t110500_c013_055dca938ef7;t110500_c013_ff01,000b,0023,754f;tests/iscx-vpn-novpn-2016/spotify1-extracted.csv;0
131.202.240.150;173.194.123.99;56102;443;6;clients2.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;45b50439d5e1cfc78a39e410dd10de39;t12d1810s1_27d4652c4487_5bb8d82126a6;t12d1810s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;spotify;A;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205h4_c02b_bec8bdbaef8a;t1205h4_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/spotify1-extracted.csv;0
131.202.240.150;216.58.219.227;52956;443;6;ssl.gstatic.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-30032-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;abc1a35e54c287a7db729c8e82c61871;t12d1812s1_27d4652c4487_e278c6a1a25f;t12d1812s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;spotify;A;49195;65281-30032-16;;29cc2b00a1a6ebc9008fb960b0d32ca0;t1203h4_c02b_180400b49650;t1203h4_c02b_ff01,7550;tests/iscx-vpn-novpn-2016/spotify1-extracted.csv;0
131.202.240.150;216.58.219.237;53995;443;6;accounts.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;spotify;A;49199;65281-16;;7bee5c1d424b7e5f943b06983bb11422;t1202h4_c02f_bc98f8e001b5;t1202h4_c02f_ff01;tests/iscx-vpn-novpn-2016/spotify1-extracted.csv;0
131.202.240.150;24.156.140.10;47591;443;6;fbcdn-profile-a.akamaihd.net;Rogers Communications Canada Inc., ROGERS-COM-INUK;770;49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10;0-65281-10-11-35-30031-5;0x0017,0x0018,0x0019;0;;;;70bb99ad11e4b97860bb0fedfd4cbaa7;t11d200700_0bf03fa604e3_5435a76a34c4;t11d200700_0004,0005,000a,002f,0032,0033,0035,0039,003c,003d,0067,006b,c007,c009,c00a,c011,c013,c014,c023,c027_0005,000a,000b,0023,754f,ff01_;spotify;0;5;0-35;;983cbf10b08c80d979ba739443a141dc;t110200_0005_e78b541c01a9;t110200_0005_0023;tests/iscx-vpn-novpn-2016/spotify1-extracted.csv;0
131.202.240.150;54.192.55.68;34384;443;6;d3rt1990lpmkn.cloudfront.net;Amazon.com, Inc., AMAZO-CF2;770;49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10;0-65281-10-11-35-30031-5;0x0017,0x0018,0x0019;0;;;;70bb99ad11e4b97860bb0fedfd4cbaa7;t11d200700_0bf03fa604e3_5435a76a34c4;t11d200700_0004,0005,000a,002f,0032,0033,0035,0039,003c,003d,0067,006b,c007,c009,c00a,c011,c013,c014,c023,c027_0005,000a,000b,0023,754f,ff01_;spotify;0;49171;0-65281-11-35-5;;2a39b56060f3a11ab347ce956838f3ed;t110500_c013_e1dda4771ae8;t110500_c013_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/spotify1-extracted.csv;0
131.202.240.150;54.192.55.68;34385;443;6;d3rt1990lpmkn.cloudfront.net;Amazon.com, Inc., AMAZO-CF2;770;49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10;0-65281-10-11-35-30031-5;0x0017,0x0018,0x0019;0;;;;70bb99ad11e4b97860bb0fedfd4cbaa7;t11d200700_0bf03fa604e3_5435a76a34c4;t11d200700_0004,0005,000a,002f,0032,0033,0035,0039,003c,003d,0067,006b,c007,c009,c00a,c011,c013,c014,c023,c027_0005,000a,000b,0023,754f,ff01_;spotify;0;49171;0-65281-11-35-5;;2a39b56060f3a11ab347ce956838f3ed;t110500_c013_e1dda4771ae8;t110500_c013_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/spotify1-extracted.csv;0
131.202.240.150;54.192.55.68;34386;443;6;d3rt1990lpmkn.cloudfront.net;Amazon.com, Inc., AMAZO-CF2;770;49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10;0-65281-10-11-35-30031-5;0x0017,0x0018,0x0019;0;;;;70bb99ad11e4b97860bb0fedfd4cbaa7;t11d200700_0bf03fa604e3_5435a76a34c4;t11d200700_0004,0005,000a,002f,0032,0033,0035,0039,003c,003d,0067,006b,c007,c009,c00a,c011,c013,c014,c023,c027_0005,000a,000b,0023,754f,ff01_;spotify;0;49171;0-65281-11-35-5;;2a39b56060f3a11ab347ce956838f3ed;t110500_c013_e1dda4771ae8;t110500_c013_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/spotify1-extracted.csv;0
131.202.240.150;54.192.55.68;34387;443;6;d3rt1990lpmkn.cloudfront.net;Amazon.com, Inc., AMAZO-CF2;770;49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10;0-65281-10-11-35-30031-5;0x0017,0x0018,0x0019;0;;;;70bb99ad11e4b97860bb0fedfd4cbaa7;t11d200700_0bf03fa604e3_5435a76a34c4;t11d200700_0004,0005,000a,002f,0032,0033,0035,0039,003c,003d,0067,006b,c007,c009,c00a,c011,c013,c014,c023,c027_0005,000a,000b,0023,754f,ff01_;spotify;0;49171;0-65281-11-35-5;;2a39b56060f3a11ab347ce956838f3ed;t110500_c013_e1dda4771ae8;t110500_c013_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/spotify1-extracted.csv;0
