SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
131.202.240.150;104.156.81.217;49615;443;6;vimeo.com;Fastly, Inc., FASTLY-3;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo4-extracted.csv;0
131.202.240.150;104.156.81.217;49621;443;6;player.vimeo.com;Fastly, Inc., FASTLY-3;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo4-extracted.csv;0
131.202.240.150;104.156.81.217;49632;443;6;vimeo.com;Fastly, Inc., FASTLY-3;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo4-extracted.csv;0
131.202.240.150;104.156.81.217;49635;443;6;vimeo.com;Fastly, Inc., FASTLY-3;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo4-extracted.csv;0
131.202.240.150;104.156.81.217;49651;443;6;vimeo.com;Fastly, Inc., FASTLY-3;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo4-extracted.csv;0
131.202.240.150;104.156.81.217;49658;443;6;player.vimeo.com;Fastly, Inc., FASTLY-3;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo4-extracted.csv;0
131.202.240.150;104.156.81.217;49660;443;6;player.vimeo.com;Fastly, Inc., FASTLY-3;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo4-extracted.csv;0
131.202.240.150;104.156.81.217;49661;443;6;vimeo.com;Fastly, Inc., FASTLY-3;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo4-extracted.csv;0
131.202.240.150;104.156.81.217;49662;443;6;player.vimeo.com;Fastly, Inc., FASTLY-3;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo4-extracted.csv;0
131.202.240.150;104.156.81.217;49663;443;6;vimeo.com;Fastly, Inc., FASTLY-3;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo4-extracted.csv;0
