SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
131.202.240.87;173.194.123.56;16910;443;6;www.google.ca;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-30032-11-10;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;454b0a63062656a142de7db6177ca3fb;t12d2111h1_f51103c65f73_c905abbc9856;t12d2111h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;voipbuster;0;52244;0-65281-11-35-30032-16;;2cde83d6dca04c36517c3bb40d7cb3ed;t1206h4_cc14_53258dfa7744;t1206h4_cc14_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/voipbuster1b-extracted.csv;0
131.202.240.87;173.194.123.56;16912;443;6;www.google.ca;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-30032-11-10;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;454b0a63062656a142de7db6177ca3fb;t12d2111h1_f51103c65f73_c905abbc9856;t12d2111h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;voipbuster;0;52244;0-65281-11-35-30032-16;;2cde83d6dca04c36517c3bb40d7cb3ed;t1206h4_cc14_53258dfa7744;t1206h4_cc14_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/voipbuster1b-extracted.csv;0
131.202.240.87;173.194.123.56;16914;443;6;www.google.ca;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-30032-11-10;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;454b0a63062656a142de7db6177ca3fb;t12d2111h1_f51103c65f73_c905abbc9856;t12d2111h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;voipbuster;0;52244;0-65281-11-35-30032-16;;2cde83d6dca04c36517c3bb40d7cb3ed;t1206h4_cc14_53258dfa7744;t1206h4_cc14_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/voipbuster1b-extracted.csv;0
131.202.240.87;173.194.123.56;16916;443;6;www.google.ca;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-30032-11-10;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;454b0a63062656a142de7db6177ca3fb;t12d2111h1_f51103c65f73_c905abbc9856;t12d2111h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;voipbuster;0;52244;0-65281-11-35-30032-16;;2cde83d6dca04c36517c3bb40d7cb3ed;t1206h4_cc14_53258dfa7744;t1206h4_cc14_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/voipbuster1b-extracted.csv;0
131.202.240.87;173.194.123.56;16918;443;6;www.google.ca;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-30032-11-10;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;454b0a63062656a142de7db6177ca3fb;t12d2111h1_f51103c65f73_c905abbc9856;t12d2111h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;voipbuster;0;52244;0-65281-11-35-30032-16;;2cde83d6dca04c36517c3bb40d7cb3ed;t1206h4_cc14_53258dfa7744;t1206h4_cc14_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/voipbuster1b-extracted.csv;0
131.202.240.87;173.194.123.56;16920;443;6;www.google.ca;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-30032-11-10;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;454b0a63062656a142de7db6177ca3fb;t12d2111h1_f51103c65f73_c905abbc9856;t12d2111h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;voipbuster;0;52244;0-65281-11-35-30032-16;;2cde83d6dca04c36517c3bb40d7cb3ed;t1206h4_cc14_53258dfa7744;t1206h4_cc14_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/voipbuster1b-extracted.csv;0
131.202.240.87;173.194.208.188;16929;5228;6;mtalk.google.com;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-30032-11-10;0x0017,0x0018,0x0019;0;;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;7d1818e91ba43a67b83c159719efe409;t12d211000_f51103c65f73_c905abbc9856;t12d211000_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0017,0023,3374,7550_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;voipbuster;A;52244;0-65281-11-35-13172-30032;;1f8c5aa8df01a8c770ecee70414af829;t120600_cc14_ff5195e47185;t120600_cc14_ff01,000b,0023,3374,7550;tests/iscx-vpn-novpn-2016/voipbuster1b-extracted.csv;0
131.202.240.87;216.58.219.237;16922;443;6;accounts.google.com;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-11-10;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;f02d328c8f92c34a27f6589d8e8d7655;t12d2110h1_f51103c65f73_b0efb93b7816;t12d2110h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0017,0023,3374_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;voipbuster;A;52243;0-65281-11-35-16;;b58a3f1485ae90321360f6f365b6b3d1;t1205h4_cc13_bec8bdbaef8a;t1205h4_cc13_ff01,000b,0023;tests/iscx-vpn-novpn-2016/voipbuster1b-extracted.csv;0
131.202.240.87;216.58.219.237;16924;443;6;accounts.google.com;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-11-10;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;f02d328c8f92c34a27f6589d8e8d7655;t12d2110h1_f51103c65f73_b0efb93b7816;t12d2110h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0017,0023,3374_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;voipbuster;A;52243;0-65281-11-35-16;;b58a3f1485ae90321360f6f365b6b3d1;t1205h4_cc13_bec8bdbaef8a;t1205h4_cc13_ff01,000b,0023;tests/iscx-vpn-novpn-2016/voipbuster1b-extracted.csv;0
131.202.240.87;64.233.171.95;16928;443;6;www.googleapis.com;Google LLC, GOOGLE;771;52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255;0-23-35-13-5-13172-18-16-11-10;0x0017,0x0018,0x0019;0;http/1.1,spdy/3.1,h2-14;0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;;f02d328c8f92c34a27f6589d8e8d7655;t12d2110h1_f51103c65f73_b0efb93b7816;t12d2110h1_0004,0005,000a,002f,0033,0035,0039,009c,009e,00ff,c007,c009,c00a,c011,c013,c014,c02b,c02f,cc13,cc14,cc15_0005,000a,000b,000d,0012,0017,0023,3374_0601,0603,0501,0503,0401,0403,0301,0303,0201,0203;voipbuster;A;52243;0-65281-11-35-16;;b58a3f1485ae90321360f6f365b6b3d1;t1205h4_cc13_bec8bdbaef8a;t1205h4_cc13_ff01,000b,0023;tests/iscx-vpn-novpn-2016/voipbuster1b-extracted.csv;0
