SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
10.8.0.10;173.194.123.0;42391;443;6;apis.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-49159-49169-51-50-57-47-53-10-5-4;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;spdy/3.1,spdy/3,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;8fbbd0f3c1f089979b04b8f8f1b21d41;t12d1609s1_2490b10d2092_50e68031a889;t12d1609s1_0004,0005,000a,002f,0032,0033,0035,0039,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205s1_c02b_bec8bdbaef8a;t1205s1_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_hangouts_audio2-extracted.csv;0
10.8.0.10;173.194.123.0;42394;443;6;apis.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-49159-49169-51-50-57-47-53-10-5-4;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;spdy/3.1,spdy/3,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;8fbbd0f3c1f089979b04b8f8f1b21d41;t12d1609s1_2490b10d2092_50e68031a889;t12d1609s1_0004,0005,000a,002f,0032,0033,0035,0039,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205s1_c02b_bec8bdbaef8a;t1205s1_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_hangouts_audio2-extracted.csv;0
10.8.0.10;173.194.123.0;42396;443;6;apis.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-49159-49169-51-50-57-47-53-10-5-4;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;spdy/3.1,spdy/3,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;8fbbd0f3c1f089979b04b8f8f1b21d41;t12d1609s1_2490b10d2092_50e68031a889;t12d1609s1_0004,0005,000a,002f,0032,0033,0035,0039,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205s1_c02b_bec8bdbaef8a;t1205s1_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_hangouts_audio2-extracted.csv;0
10.8.0.10;173.194.123.0;42397;443;6;apis.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-49159-49169-51-50-57-47-53-10-5-4;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;spdy/3.1,spdy/3,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;8fbbd0f3c1f089979b04b8f8f1b21d41;t12d1609s1_2490b10d2092_50e68031a889;t12d1609s1_0004,0005,000a,002f,0032,0033,0035,0039,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205s1_c02b_bec8bdbaef8a;t1205s1_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_hangouts_audio2-extracted.csv;0
10.8.0.10;173.194.123.0;42399;443;6;apis.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-49159-49169-51-50-57-47-53-10-5-4;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;spdy/3.1,spdy/3,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;8fbbd0f3c1f089979b04b8f8f1b21d41;t12d1609s1_2490b10d2092_50e68031a889;t12d1609s1_0004,0005,000a,002f,0032,0033,0035,0039,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205s1_c02b_bec8bdbaef8a;t1205s1_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_hangouts_audio2-extracted.csv;0
10.8.0.10;173.194.123.101;47188;443;6;clients6.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-49159-49169-51-50-57-47-53-10-5-4;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;spdy/3.1,spdy/3,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;8fbbd0f3c1f089979b04b8f8f1b21d41;t12d1609s1_2490b10d2092_50e68031a889;t12d1609s1_0004,0005,000a,002f,0032,0033,0035,0039,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205s1_c02b_bec8bdbaef8a;t1205s1_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_hangouts_audio2-extracted.csv;0
10.8.0.10;173.194.123.101;47189;443;6;clients6.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-49159-49169-51-50-57-47-53-10-5-4;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;spdy/3.1,spdy/3,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;8fbbd0f3c1f089979b04b8f8f1b21d41;t12d1609s1_2490b10d2092_50e68031a889;t12d1609s1_0004,0005,000a,002f,0032,0033,0035,0039,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205s1_c02b_bec8bdbaef8a;t1205s1_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_hangouts_audio2-extracted.csv;0
10.8.0.10;173.194.123.10;47355;443;6;oauth.googleusercontent.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-49159-49169-51-50-57-47-53-10-5-4;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;spdy/3.1,spdy/3,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;8fbbd0f3c1f089979b04b8f8f1b21d41;t12d1609s1_2490b10d2092_50e68031a889;t12d1609s1_0004,0005,000a,002f,0032,0033,0035,0039,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;0;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205s1_c02b_bec8bdbaef8a;t1205s1_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_hangouts_audio2-extracted.csv;0
10.8.0.10;173.194.123.10;47363;443;6;oauth.googleusercontent.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-49159-49169-51-50-57-47-53-10-5-4;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;spdy/3.1,spdy/3,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;8fbbd0f3c1f089979b04b8f8f1b21d41;t12d1609s1_2490b10d2092_50e68031a889;t12d1609s1_0004,0005,000a,002f,0032,0033,0035,0039,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;0;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205s1_c02b_bec8bdbaef8a;t1205s1_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_hangouts_audio2-extracted.csv;0
10.8.0.10;173.194.123.117;34496;443;6;mail.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-49159-49169-51-50-57-47-53-10-5-4;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;spdy/3.1,spdy/3,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;8fbbd0f3c1f089979b04b8f8f1b21d41;t12d1609s1_2490b10d2092_50e68031a889;t12d1609s1_0004,0005,000a,002f,0032,0033,0035,0039,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;hangout;A;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205s1_c02b_bec8bdbaef8a;t1205s1_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_hangouts_audio2-extracted.csv;0
