SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
10.8.8.138;107.22.243.234;35936;443;6;www.netflix.com;Amazon.com, Inc., AMAZON-EC2-8;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;netflix;0;49199;65281-11-35;;ccc514751b175866924439bdbb5bba34;t120300_c02f_bec8bdbaef8a;t120300_c02f_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_netflix_A-extracted.csv;0
10.8.8.138;107.22.243.234;35968;443;6;www.netflix.com;Amazon.com, Inc., AMAZON-EC2-8;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;14e8ffbc70e60c915bcc493c25b1b552;t12d1310s1_94beff773b37_5bb8d82126a6;t12d1310s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;netflix;0;49199;65281-11-35;;ccc514751b175866924439bdbb5bba34;t120300_c02f_bec8bdbaef8a;t120300_c02f_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_netflix_A-extracted.csv;0
10.8.8.138;108.160.172.204;40633;443;6;;Dropbox, Inc., DROPBOX;769;49172-49171-49169-57-51-53-47-255;35;;;;;;8d0230b6ce881f161d1875364f4a156b;t10i080100_e44e19c6475b_94264683603e;t10i080100_002f,0033,0035,0039,00ff,c011,c013,c014_0023_;netflix;0;49172;65281;;bcf3a836c82d12ee988005fb0c011445;t100100_c014_bc98f8e001b5;t100100_c014_ff01;tests/iscx-vpn-novpn-2016/vpn_netflix_A-extracted.csv;0
10.8.8.138;216.58.219.205;37207;443;6;accounts.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;7fd2f2e11f01ee6b34deb61b4a9a15ed;t12d1311s1_94beff773b37_f2efb249ca37;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;netflix;A;49199;65281-16;;7bee5c1d424b7e5f943b06983bb11422;t1202h2_c02f_bc98f8e001b5;t1202h2_c02f_ff01;tests/iscx-vpn-novpn-2016/vpn_netflix_A-extracted.csv;0
10.8.8.138;216.58.221.142;48899;443;6;safebrowsing.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;netflix;0;49195;0-65281-11-35-30032-16;;26a3105a04b573d00a21b3e0d98d0b12;t1206h2_c02b_53258dfa7744;t1206h2_c02b_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/vpn_netflix_A-extracted.csv;0
10.8.8.138;23.21.207.234;46958;443;6;www.netflix.com;Amazon.com, Inc., AMAZON-EC2-USEAST-10;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;netflix;0;49199;65281-11-35;;ccc514751b175866924439bdbb5bba34;t120300_c02f_bec8bdbaef8a;t120300_c02f_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_netflix_A-extracted.csv;0
10.8.8.138;23.21.207.234;46959;443;6;www.netflix.com;Amazon.com, Inc., AMAZON-EC2-USEAST-10;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;netflix;0;49199;65281-11-35;;ccc514751b175866924439bdbb5bba34;t120300_c02f_bec8bdbaef8a;t120300_c02f_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_netflix_A-extracted.csv;0
10.8.8.138;50.16.198.195;44471;443;6;www.netflix.com;Amazon.com, Inc., AMAZON-EC2-8;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;netflix;0;49199;65281-11-35;;ccc514751b175866924439bdbb5bba34;t120300_c02f_bec8bdbaef8a;t120300_c02f_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_netflix_A-extracted.csv;0
10.8.8.138;50.19.232.176;55467;443;6;www.netflix.com;Amazon Data Services NoVa, AMAZON-IAD;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;netflix;0;49199;65281-11-35;;ccc514751b175866924439bdbb5bba34;t120300_c02f_bec8bdbaef8a;t120300_c02f_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_netflix_A-extracted.csv;0
10.8.8.138;54.204.30.249;57466;443;6;www.netflix.com;Amazon.com, Inc., AMAZO-ZIAD7;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;netflix;0;49199;65281-11-35;;ccc514751b175866924439bdbb5bba34;t120300_c02f_bec8bdbaef8a;t120300_c02f_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_netflix_A-extracted.csv;0
