SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
10.8.8.130;131.253.61.84;42934;443;6;login.live.com;Microsoft Corp, MICROSOFT;771;49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49170-49160-22-19-49165-49155-10-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-49169-49159-49164-49154-5-4-21-18-9-255;0-11-10-35-13-15;0x000e,0x000d,0x0019,0x000b,0x000c,0x0018,0x0009,0x000a,0x0016,0x0017,0x0008,0x0006,0x0007,0x0014,0x0015,0x0004,0x0005,0x0012,0x0013,0x0001,0x0002,0x0003,0x000f,0x0010,0x0011;0,1,2;;0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;;a4de6c645b07bbcaf35ea4f7d17a38cf;t12d680600_20360d613c15_a1e935682795;t12d680600_0004,0005,0009,000a,0012,0013,0015,0016,002f,0032,0033,0035,0038,0039,003c,003d,0040,0041,0044,0045,0067,006a,006b,0084,0087,0088,0096,0099,009a,009c,009d,009e,009f,00a2,00a3,00ff,c002,c003,c004,c005,c007,c008,c009,c00a,c00c,c00d,c00e,c00f,c011,c012,c013,c014,c023,c024,c025,c026,c027,c028,c029,c02a,c02b,c02c,c02d,c02e,c02f,c030,c031,c032_000a,000b,000d,000f,0023_0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;skype;0;49192;65281;;a70303593a393dfd863b76d9da6c3ace;t120100_c028_bc98f8e001b5;t120100_c028_ff01;tests/iscx-vpn-novpn-2016/vpn_skype_files1b-extracted.csv;0
10.8.8.130;131.253.61.84;42935;443;6;login.live.com;Microsoft Corp, MICROSOFT;771;49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49170-49160-22-19-49165-49155-10-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-49169-49159-49164-49154-5-4-21-18-9-255;0-11-10-35-13-15;0x000e,0x000d,0x0019,0x000b,0x000c,0x0018,0x0009,0x000a,0x0016,0x0017,0x0008,0x0006,0x0007,0x0014,0x0015,0x0004,0x0005,0x0012,0x0013,0x0001,0x0002,0x0003,0x000f,0x0010,0x0011;0,1,2;;0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;;a4de6c645b07bbcaf35ea4f7d17a38cf;t12d680600_20360d613c15_a1e935682795;t12d680600_0004,0005,0009,000a,0012,0013,0015,0016,002f,0032,0033,0035,0038,0039,003c,003d,0040,0041,0044,0045,0067,006a,006b,0084,0087,0088,0096,0099,009a,009c,009d,009e,009f,00a2,00a3,00ff,c002,c003,c004,c005,c007,c008,c009,c00a,c00c,c00d,c00e,c00f,c011,c012,c013,c014,c023,c024,c025,c026,c027,c028,c029,c02a,c02b,c02c,c02d,c02e,c02f,c030,c031,c032_000a,000b,000d,000f,0023_0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;skype;0;49192;65281;;a70303593a393dfd863b76d9da6c3ace;t120100_c028_bc98f8e001b5;t120100_c028_ff01;tests/iscx-vpn-novpn-2016/vpn_skype_files1b-extracted.csv;0
10.8.8.130;131.253.61.84;42936;443;6;login.live.com;Microsoft Corp, MICROSOFT;771;49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49170-49160-22-19-49165-49155-10-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-49169-49159-49164-49154-5-4-21-18-9-255;0-11-10-35-13-15;0x000e,0x000d,0x0019,0x000b,0x000c,0x0018,0x0009,0x000a,0x0016,0x0017,0x0008,0x0006,0x0007,0x0014,0x0015,0x0004,0x0005,0x0012,0x0013,0x0001,0x0002,0x0003,0x000f,0x0010,0x0011;0,1,2;;0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;;a4de6c645b07bbcaf35ea4f7d17a38cf;t12d680600_20360d613c15_a1e935682795;t12d680600_0004,0005,0009,000a,0012,0013,0015,0016,002f,0032,0033,0035,0038,0039,003c,003d,0040,0041,0044,0045,0067,006a,006b,0084,0087,0088,0096,0099,009a,009c,009d,009e,009f,00a2,00a3,00ff,c002,c003,c004,c005,c007,c008,c009,c00a,c00c,c00d,c00e,c00f,c011,c012,c013,c014,c023,c024,c025,c026,c027,c028,c029,c02a,c02b,c02c,c02d,c02e,c02f,c030,c031,c032_000a,000b,000d,000f,0023_0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;skype;0;49192;65281;;a70303593a393dfd863b76d9da6c3ace;t120100_c028_bc98f8e001b5;t120100_c028_ff01;tests/iscx-vpn-novpn-2016/vpn_skype_files1b-extracted.csv;0
10.8.8.130;173.194.113.48;51012;443;6;www.google.com;Google LLC, GOOGLE;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;07b4162d4db57554961824a21c4a0fde;t12d1109h6_43e74fd21232_50e68031a889;t12d1109h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;skype;A;49199;0-65281-11-35-16;;b898351eb5e266aefd3723d466935494;t1205h2_c02f_bec8bdbaef8a;t1205h2_c02f_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_skype_files1b-extracted.csv;0
10.8.8.130;23.194.214.42;37114;443;6;secure.skypeassets.com;Akamai Technologies, Inc., AKAMAI;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;07b4162d4db57554961824a21c4a0fde;t12d1109h6_43e74fd21232_50e68031a889;t12d1109h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;skype;0;47;0-65281-35-16;;72f4dca7257e1f53d32a5c79b62173c7;t1204h1_002f_2412b79bd618;t1204h1_002f_ff01,0023;tests/iscx-vpn-novpn-2016/vpn_skype_files1b-extracted.csv;0
10.8.8.130;23.194.214.46;35827;443;6;apps.skypeassets.com;Akamai Technologies, Inc., AKAMAI;771;49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49170-49160-22-19-49165-49155-10-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-49169-49159-49164-49154-5-4-21-18-9-255;0-11-10-35-13-15;0x000e,0x000d,0x0019,0x000b,0x000c,0x0018,0x0009,0x000a,0x0016,0x0017,0x0008,0x0006,0x0007,0x0014,0x0015,0x0004,0x0005,0x0012,0x0013,0x0001,0x0002,0x0003,0x000f,0x0010,0x0011;0,1,2;;0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;;a4de6c645b07bbcaf35ea4f7d17a38cf;t12d680600_20360d613c15_a1e935682795;t12d680600_0004,0005,0009,000a,0012,0013,0015,0016,002f,0032,0033,0035,0038,0039,003c,003d,0040,0041,0044,0045,0067,006a,006b,0084,0087,0088,0096,0099,009a,009c,009d,009e,009f,00a2,00a3,00ff,c002,c003,c004,c005,c007,c008,c009,c00a,c00c,c00d,c00e,c00f,c011,c012,c013,c014,c023,c024,c025,c026,c027,c028,c029,c02a,c02b,c02c,c02d,c02e,c02f,c030,c031,c032_000a,000b,000d,000f,0023_0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;skype;0;5;0-65281-35;;cde33dc8da836188569dab87a1f9d2d3;t120300_0005_2412b79bd618;t120300_0005_ff01,0023;tests/iscx-vpn-novpn-2016/vpn_skype_files1b-extracted.csv;0
10.8.8.130;23.194.214.46;35843;443;6;apps.skypeassets.com;Akamai Technologies, Inc., AKAMAI;771;49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49170-49160-22-19-49165-49155-10-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-49169-49159-49164-49154-5-4-21-18-9-255;0-11-10-35-13-15;0x000e,0x000d,0x0019,0x000b,0x000c,0x0018,0x0009,0x000a,0x0016,0x0017,0x0008,0x0006,0x0007,0x0014,0x0015,0x0004,0x0005,0x0012,0x0013,0x0001,0x0002,0x0003,0x000f,0x0010,0x0011;0,1,2;;0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;;a4de6c645b07bbcaf35ea4f7d17a38cf;t12d680600_20360d613c15_a1e935682795;t12d680600_0004,0005,0009,000a,0012,0013,0015,0016,002f,0032,0033,0035,0038,0039,003c,003d,0040,0041,0044,0045,0067,006a,006b,0084,0087,0088,0096,0099,009a,009c,009d,009e,009f,00a2,00a3,00ff,c002,c003,c004,c005,c007,c008,c009,c00a,c00c,c00d,c00e,c00f,c011,c012,c013,c014,c023,c024,c025,c026,c027,c028,c029,c02a,c02b,c02c,c02d,c02e,c02f,c030,c031,c032_000a,000b,000d,000f,0023_0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;skype;0;5;0-65281-35;;cde33dc8da836188569dab87a1f9d2d3;t120300_0005_2412b79bd618;t120300_0005_ff01,0023;tests/iscx-vpn-novpn-2016/vpn_skype_files1b-extracted.csv;0
10.8.8.130;23.194.214.46;35857;443;6;apps.skypeassets.com;Akamai Technologies, Inc., AKAMAI;771;49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49170-49160-22-19-49165-49155-10-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-49169-49159-49164-49154-5-4-21-18-9-255;0-11-10-35-13-15;0x000e,0x000d,0x0019,0x000b,0x000c,0x0018,0x0009,0x000a,0x0016,0x0017,0x0008,0x0006,0x0007,0x0014,0x0015,0x0004,0x0005,0x0012,0x0013,0x0001,0x0002,0x0003,0x000f,0x0010,0x0011;0,1,2;;0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;;a4de6c645b07bbcaf35ea4f7d17a38cf;t12d680600_20360d613c15_a1e935682795;t12d680600_0004,0005,0009,000a,0012,0013,0015,0016,002f,0032,0033,0035,0038,0039,003c,003d,0040,0041,0044,0045,0067,006a,006b,0084,0087,0088,0096,0099,009a,009c,009d,009e,009f,00a2,00a3,00ff,c002,c003,c004,c005,c007,c008,c009,c00a,c00c,c00d,c00e,c00f,c011,c012,c013,c014,c023,c024,c025,c026,c027,c028,c029,c02a,c02b,c02c,c02d,c02e,c02f,c030,c031,c032_000a,000b,000d,000f,0023_0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;skype;0;5;0-65281-35;;cde33dc8da836188569dab87a1f9d2d3;t120300_0005_2412b79bd618;t120300_0005_ff01,0023;tests/iscx-vpn-novpn-2016/vpn_skype_files1b-extracted.csv;0
10.8.8.130;23.194.214.46;35863;443;6;apps.skypeassets.com;Akamai Technologies, Inc., AKAMAI;771;49195-49199-49162-49161-49171-49172-51-57-47-53-10;0-65281-10-11-35-13172-16-5-13;0x0017,0x0018,0x0019;0;h2-16,h2-15,h2-14,h2,spdy/3.1,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;07b4162d4db57554961824a21c4a0fde;t12d1109h6_43e74fd21232_50e68031a889;t12d1109h6_000a,002f,0033,0035,0039,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;skype;0;10;0-65281-35-16;;435ddb424cb165e2e0c8dedfb8db2d30;t1204h1_000a_2412b79bd618;t1204h1_000a_ff01,0023;tests/iscx-vpn-novpn-2016/vpn_skype_files1b-extracted.csv;0
10.8.8.130;23.194.214.46;35880;443;6;apps.skypeassets.com;Akamai Technologies, Inc., AKAMAI;771;49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49170-49160-22-19-49165-49155-10-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-49169-49159-49164-49154-5-4-21-18-9-255;0-11-10-35-13-15;0x000e,0x000d,0x0019,0x000b,0x000c,0x0018,0x0009,0x000a,0x0016,0x0017,0x0008,0x0006,0x0007,0x0014,0x0015,0x0004,0x0005,0x0012,0x0013,0x0001,0x0002,0x0003,0x000f,0x0010,0x0011;0,1,2;;0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;;a4de6c645b07bbcaf35ea4f7d17a38cf;t12d680600_20360d613c15_a1e935682795;t12d680600_0004,0005,0009,000a,0012,0013,0015,0016,002f,0032,0033,0035,0038,0039,003c,003d,0040,0041,0044,0045,0067,006a,006b,0084,0087,0088,0096,0099,009a,009c,009d,009e,009f,00a2,00a3,00ff,c002,c003,c004,c005,c007,c008,c009,c00a,c00c,c00d,c00e,c00f,c011,c012,c013,c014,c023,c024,c025,c026,c027,c028,c029,c02a,c02b,c02c,c02d,c02e,c02f,c030,c031,c032_000a,000b,000d,000f,0023_0601,0602,0603,0501,0502,0503,0401,0402,0403,0301,0302,0303,0201,0202,0203;skype;0;5;0-65281-35;;cde33dc8da836188569dab87a1f9d2d3;t120300_0005_2412b79bd618;t120300_0005_ff01,0023;tests/iscx-vpn-novpn-2016/vpn_skype_files1b-extracted.csv;0
