SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
10.8.8.138;108.160.170.38;43577;443;6;;Dropbox, Inc., DROPBOX;769;49172-49171-49169-57-51-53-47-255;35;;;;;;8d0230b6ce881f161d1875364f4a156b;t10i080100_e44e19c6475b_94264683603e;t10i080100_002f,0033,0035,0039,00ff,c011,c013,c014_0023_;spotify;0;49172;65281;;bcf3a836c82d12ee988005fb0c011445;t100100_c014_bc98f8e001b5;t100100_c014_ff01;tests/iscx-vpn-novpn-2016/vpn_spotify_A-extracted.csv;0
10.8.8.138;108.160.172.236;57159;443;6;;Dropbox, Inc., DROPBOX;769;49172-49171-49169-57-51-53-47-255;35;;;;;;8d0230b6ce881f161d1875364f4a156b;t10i080100_e44e19c6475b_94264683603e;t10i080100_002f,0033,0035,0039,00ff,c011,c013,c014_0023_;spotify;0;49172;65281;;bcf3a836c82d12ee988005fb0c011445;t100100_c014_bc98f8e001b5;t100100_c014_ff01;tests/iscx-vpn-novpn-2016/vpn_spotify_A-extracted.csv;0
10.8.8.138;216.58.219.205;37008;443;6;accounts.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;14e8ffbc70e60c915bcc493c25b1b552;t12d1310s1_94beff773b37_5bb8d82126a6;t12d1310s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;spotify;A;49199;0-65281-11-35-16;;b898351eb5e266aefd3723d466935494;t1205h2_c02f_bec8bdbaef8a;t1205h2_c02f_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_spotify_A-extracted.csv;0
10.8.8.138;24.156.140.49;47268;443;6;fbcdn-profile-a.akamaihd.net;Rogers Communications Canada Inc., ROGERS-COM-INUK;770;49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10;0-65281-10-11-35-30031-5;0x0017,0x0018,0x0019;0;;;;70bb99ad11e4b97860bb0fedfd4cbaa7;t11d200700_0bf03fa604e3_5435a76a34c4;t11d200700_0004,0005,000a,002f,0032,0033,0035,0039,003c,003d,0067,006b,c007,c009,c00a,c011,c013,c014,c023,c027_0005,000a,000b,0023,754f,ff01_;spotify;0;49172;0-11-35;;679ef8eac65137ee25265f68570dca6c;t110300_c014_50261c319fbe;t110300_c014_000b,0023;tests/iscx-vpn-novpn-2016/vpn_spotify_A-extracted.csv;0
10.8.8.138;54.230.52.100;33875;443;6;d3rt1990lpmkn.cloudfront.net;Amazon.com, Inc., AMAZO-ZL4;770;49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10;0-65281-10-11-35-30031-5;0x0017,0x0018,0x0019;0;;;;70bb99ad11e4b97860bb0fedfd4cbaa7;t11d200700_0bf03fa604e3_5435a76a34c4;t11d200700_0004,0005,000a,002f,0032,0033,0035,0039,003c,003d,0067,006b,c007,c009,c00a,c011,c013,c014,c023,c027_0005,000a,000b,0023,754f,ff01_;spotify;0;49171;0-65281-11-35-5;;2a39b56060f3a11ab347ce956838f3ed;t110500_c013_e1dda4771ae8;t110500_c013_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vpn_spotify_A-extracted.csv;0
10.8.8.138;54.230.52.100;33876;443;6;d3rt1990lpmkn.cloudfront.net;Amazon.com, Inc., AMAZO-ZL4;770;49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10;0-65281-10-11-35-30031-5;0x0017,0x0018,0x0019;0;;;;70bb99ad11e4b97860bb0fedfd4cbaa7;t11d200700_0bf03fa604e3_5435a76a34c4;t11d200700_0004,0005,000a,002f,0032,0033,0035,0039,003c,003d,0067,006b,c007,c009,c00a,c011,c013,c014,c023,c027_0005,000a,000b,0023,754f,ff01_;spotify;0;49171;0-65281-11-35-5;;2a39b56060f3a11ab347ce956838f3ed;t110500_c013_e1dda4771ae8;t110500_c013_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vpn_spotify_A-extracted.csv;0
10.8.8.138;54.240.190.108;43152;443;6;;A100 US LLC, AMAZO-CF1;769;49172-49171-49169-57-51-53-47-255;35;;;;;;8d0230b6ce881f161d1875364f4a156b;t10i080100_e44e19c6475b_94264683603e;t10i080100_002f,0033,0035,0039,00ff,c011,c013,c014_0023_;spotify;0;49171;65281-35;;2e81acf9a2219e155c3f8f77f8416357;t100200_c013_2412b79bd618;t100200_c013_ff01,0023;tests/iscx-vpn-novpn-2016/vpn_spotify_A-extracted.csv;0
10.8.8.138;74.125.226.32;33832;443;6;clients4.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;14e8ffbc70e60c915bcc493c25b1b552;t12d1310s1_94beff773b37_5bb8d82126a6;t12d1310s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;spotify;A;49195;0-65281-11-35-16;;2d1eb5817ece335c24904f516ad5da12;t1205h2_c02b_bec8bdbaef8a;t1205h2_c02b_ff01,000b,0023;tests/iscx-vpn-novpn-2016/vpn_spotify_A-extracted.csv;0
10.8.8.138;74.125.226.32;33834;443;6;clients4.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;spotify;A;49195;0-65281-11-35-30032-16;;26a3105a04b573d00a21b3e0d98d0b12;t1206h2_c02b_53258dfa7744;t1206h2_c02b_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/vpn_spotify_A-extracted.csv;0
10.8.8.138;74.125.226.35;54113;443;6;safebrowsing.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;7f1a450a61ae884708af3dfc029f9ea5;t12d1312s1_94beff773b37_e278c6a1a25f;t12d1312s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;spotify;0;49195;65281-30032-16;;29cc2b00a1a6ebc9008fb960b0d32ca0;t1203h2_c02b_180400b49650;t1203h2_c02b_ff01,7550;tests/iscx-vpn-novpn-2016/vpn_spotify_A-extracted.csv;0
