SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
10.8.8.138;104.156.81.217;35238;443;6;player.vimeo.com;Fastly, Inc., FASTLY-3;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;14e8ffbc70e60c915bcc493c25b1b552;t12d1310s1_94beff773b37_5bb8d82126a6;t12d1310s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;0-65281-11-35-5-16;;76cc3e2d3028143b23ec18e27dbd7ca9;t1206h1_c02f_e1dda4771ae8;t1206h1_c02f_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
10.8.8.138;108.160.163.110;32809;443;6;;Dropbox, Inc., DROPBOX;769;49172-49171-49169-57-51-53-47-255;35;;;;;;8d0230b6ce881f161d1875364f4a156b;t10i080100_e44e19c6475b_94264683603e;t10i080100_002f,0033,0035,0039,00ff,c011,c013,c014_0023_;vimeo;0;49172;65281;;bcf3a836c82d12ee988005fb0c011445;t100100_c014_bc98f8e001b5;t100100_c014_ff01;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
10.8.8.138;209.148.205.35;42010;443;6;pdlvimeocdn-a.akamaihd.net;Rogers Communications Canada Inc., ROGERS-COM-RTI;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;14e8ffbc70e60c915bcc493c25b1b552;t12d1310s1_94beff773b37_5bb8d82126a6;t12d1310s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;11;;70745099b394fe3f42264227c098cc98;t120100_c02f_bcb145a8c2a7;t120100_c02f_000b;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
10.8.8.138;23.235.37.217;33646;443;6;player.vimeo.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;0-65281-11-35-5-16;;76cc3e2d3028143b23ec18e27dbd7ca9;t1206h1_c02f_e1dda4771ae8;t1206h1_c02f_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
10.8.8.138;23.235.40.143;39890;443;6;fresnel.vimeocdn.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;0-65281-11-35-5-16;;76cc3e2d3028143b23ec18e27dbd7ca9;t1206h1_c02f_e1dda4771ae8;t1206h1_c02f_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
10.8.8.138;23.235.40.143;39899;443;6;i.vimeocdn.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;0-65281-11-35-5-16;;76cc3e2d3028143b23ec18e27dbd7ca9;t1206h1_c02f_e1dda4771ae8;t1206h1_c02f_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
10.8.8.138;23.235.40.143;39900;443;6;i.vimeocdn.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;0-65281-11-35-5-16;;76cc3e2d3028143b23ec18e27dbd7ca9;t1206h1_c02f_e1dda4771ae8;t1206h1_c02f_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
10.8.8.138;23.235.40.143;39901;443;6;i.vimeocdn.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;0-65281-11-35-5-16;;76cc3e2d3028143b23ec18e27dbd7ca9;t1206h1_c02f_e1dda4771ae8;t1206h1_c02f_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
10.8.8.138;74.125.226.40;53305;443;6;clients4.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;7f1a450a61ae884708af3dfc029f9ea5;t12d1312s1_94beff773b37_e278c6a1a25f;t12d1312s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49195;65281-30032-16;;29cc2b00a1a6ebc9008fb960b0d32ca0;t1203h2_c02b_180400b49650;t1203h2_c02b_ff01,7550;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
10.8.8.138;74.125.226.40;53306;443;6;clients4.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;7fd2f2e11f01ee6b34deb61b4a9a15ed;t12d1311s1_94beff773b37_f2efb249ca37;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49195;65281-16;;96681175a9547081bf3d417f1a572091;t1202h2_c02b_bc98f8e001b5;t1202h2_c02b_ff01;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
10.8.8.138;74.125.226.41;44627;443;6;safebrowsing.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49195;0-65281-11-35-30032-16;;26a3105a04b573d00a21b3e0d98d0b12;t1206h2_c02b_53258dfa7744;t1206h2_c02b_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
10.8.8.138;74.125.226.63;57465;443;6;ssl.gstatic.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;7f1a450a61ae884708af3dfc029f9ea5;t12d1312s1_94beff773b37_e278c6a1a25f;t12d1312s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49195;65281-30032-16;;29cc2b00a1a6ebc9008fb960b0d32ca0;t1203h2_c02b_180400b49650;t1203h2_c02b_ff01,7550;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
10.8.8.138;74.125.226.72;39606;443;6;safebrowsing-cache.google.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,h2,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;eb7cdd4e7dea7a11b3016c3c9acbd2a3;t12d1311s1_94beff773b37_06a4338d0495;t12d1311s1_000a,002f,0033,0035,0039,009c,009e,c009,c00a,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49195;0-65281-11-35-30032-16;;26a3105a04b573d00a21b3e0d98d0b12;t1206h2_c02b_53258dfa7744;t1206h2_c02b_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/vpn_vimeo_A-extracted.csv;0
