SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
192.168.3.28;142.251.36.106;63771;443;17;waa-pa.clients6.google.com;Google LLC, GOOGLE;771;4865-4866-4867;0-10-16-5-13-18-51-45-43-57-27;0x9a9a,0x001d,0x0017,0x0018,0x0019;;h3;0403,0804,0401,0503,0203,0805,0805,0501,0806,0601,0201;0xbaba,0x0304;9a78264e64e221797705e75a3c55df01;q13d0311h3_55b375c5d22e_0e9637bee5d3;q13d0311h3_1301,1302,1303_0005,000a,000d,0012,001b,002b,002d,0033,0039_0403,0804,0401,0503,0203,0805,0805,0501,0806,0601,0201;facebook;0;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;q130200_1301_234ea6891581;q130200_1301_0033,002b;tests/apps4/facebook_02-14-extracted.csv;0
192.168.3.28;142.251.36.74;61825;443;17;lamssettings-pa.googleapis.com;Google LLC, GOOGLE;771;4865-4866-4867;10-27-16-13-57-51-0-17513-45-42-43-65037-41;0x001d,0x0017,0x0018;;h3;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304;022b135d6cebb9707dd13f7d13365ee2;q13d0313h3_55b375c5d22e_c7319ce65786;q13d0313h3_1301,1302,1303_000a,000d,001b,0029,002a,002b,002d,0033,0039,4469,fe0d_0403,0804,0401,0503,0805,0501,0806,0601,0201;facebook;0;4865;41-51-43;0x0304;2b0648ab686ee45e0e7c35fcfb0eea7e;q130300_1301_6bbbaf601ed8;q130300_1301_0029,0033,002b;tests/apps4/facebook_02-14-extracted.csv;0
192.168.3.28;31.13.84.36;58660;443;6;b-graph.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303,0x0302,0x0301;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;t13d1713h1_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;facebook;0;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/apps4/facebook_02-14-extracted.csv;0
192.168.3.28;31.13.84.36;58666;443;6;b-graph.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867;43-10-51-13-0-16-45-41;0x001d,0x0017;;h2,h2-fb,http/1.1;0403,0503,0603,0804;0x0304,0xfb1a;0ffa7f0744e82d70508a9dc14d0be43c;t00d0308h2_55b375c5d22e_9300928cbf90;t00d0308h2_1301,1302,1303_000a,000d,0029,002b,002d,0033_0403,0503,0603,0804;facebook;0;4865;43-51-41;0xfb1a;fcb2d4d0991292272fcb1e464eedfd43;t000300_1301_0ee26285a86f;t000300_1301_002b,0033,0029;tests/apps4/facebook_02-14-extracted.csv;0
192.168.3.28;31.13.84.36;58667;443;6;b-graph.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867;43-10-51-13-0-16-45-41;0x001d,0x0017;;h2,h2-fb,http/1.1;0403,0503,0603,0804;0x0304,0xfb1a;0ffa7f0744e82d70508a9dc14d0be43c;t00d0308h2_55b375c5d22e_9300928cbf90;t00d0308h2_1301,1302,1303_000a,000d,0029,002b,002d,0033_0403,0503,0603,0804;facebook;0;4865;43-51-41;0xfb1a;fcb2d4d0991292272fcb1e464eedfd43;t000300_1301_0ee26285a86f;t000300_1301_002b,0033,0029;tests/apps4/facebook_02-14-extracted.csv;0
192.168.3.28;31.13.84.36;58669;443;6;b-api.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867;43-10-51-13-0-16-45;0x001d,0x0017;;h2,h2-fb,http/1.1;0403,0503,0603,0804;0x0304,0xfb1a;7a29c223fb122ec64d10f0a159e07996;t00d0307h2_55b375c5d22e_8f5d6a331b25;t00d0307h2_1301,1302,1303_000a,000d,002b,002d,0033_0403,0503,0603,0804;facebook;0;4865;43-51;0xfb1a;f4febc55ea12b31ae17cfb7e614afda8;t000200_1301_a56c5b993250;t000200_1301_002b,0033;tests/apps4/facebook_02-14-extracted.csv;0
192.168.3.28;31.13.84.36;58677;443;6;b-graph.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21-41;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303,0x0302,0x0301;a5804cc8972df3ab8b7ccde6b7a9e0f4;t13d1714h1_5b57614c22b0_fadfdae04b4e;t13d1714h1_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,0029,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;facebook;0;4865;43-51-41;0x0304;fcb2d4d0991292272fcb1e464eedfd43;t130300_1301_0ee26285a86f;t130300_1301_002b,0033,0029;tests/apps4/facebook_02-14-extracted.csv;0
192.168.3.28;31.13.84.36;58679;443;6;b-graph.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21-41;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303,0x0302,0x0301;a5804cc8972df3ab8b7ccde6b7a9e0f4;t13d1714h1_5b57614c22b0_fadfdae04b4e;t13d1714h1_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,0029,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;facebook;0;4865;43-51-41;0x0304;fcb2d4d0991292272fcb1e464eedfd43;t130300_1301_0ee26285a86f;t130300_1301_002b,0033,0029;tests/apps4/facebook_02-14-extracted.csv;0
192.168.3.28;31.13.84.8;57281;443;17;graph.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865;43-10-51-13-0-16-45-27-65445-41;0x001d,0x0017;;h3-fb-05;0403,0503,0603,0804;0x0304,0x7f1a;20e3d4477521f6ca9b618234867493db;q00d0110h5_0f2cb44170f4_3bed9cc861d8;q00d0110h5_1301_000a,000d,001b,0029,002b,002d,0033,ffa5_0403,0503,0603,0804;facebook;A;4865;43-51-41;0x0304;fcb2d4d0991292272fcb1e464eedfd43;q130300_1301_0ee26285a86f;q130300_1301_002b,0033,0029;tests/apps4/facebook_02-14-extracted.csv;0
192.168.3.28;31.13.84.8;58671;443;6;graph.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867;43-10-51-13-0-16-45;0x001d,0x0017;;h2,h2-fb,http/1.1;0403,0503,0603,0804;0x0304,0xfb1a;7a29c223fb122ec64d10f0a159e07996;t00d0307h2_55b375c5d22e_8f5d6a331b25;t00d0307h2_1301,1302,1303_000a,000d,002b,002d,0033_0403,0503,0603,0804;facebook;A;4865;43-51;0xfb1a;f4febc55ea12b31ae17cfb7e614afda8;t000200_1301_a56c5b993250;t000200_1301_002b,0033;tests/apps4/facebook_02-14-extracted.csv;0
