SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
192.168.3.28;31.13.84.36;57366;443;6;b-graph.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867;43-10-51-13-0-16-45-41;0x001d,0x0017;;h2,h2-fb,http/1.1;0403,0503,0603,0804;0x0304,0xfb1a;0ffa7f0744e82d70508a9dc14d0be43c;t00d0308h2_55b375c5d22e_9300928cbf90;t00d0308h2_1301,1302,1303_000a,000d,0029,002b,002d,0033_0403,0503,0603,0804;messenger;0;4865;43-51-41;0xfb1a;fcb2d4d0991292272fcb1e464eedfd43;t000300_1301_0ee26285a86f;t000300_1301_002b,0033,0029;tests/apps3/messenger_02-13-extracted.csv;0
192.168.3.28;31.13.84.4;57370;443;6;static.xx.fbcdn.net;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867;43-10-51-13-0-16-45;0x001d,0x0017;;h2,h2-fb,http/1.1;0403,0503,0603,0804;0x0304,0xfb1a;7a29c223fb122ec64d10f0a159e07996;t00d0307h2_55b375c5d22e_8f5d6a331b25;t00d0307h2_1301,1302,1303_000a,000d,002b,002d,0033_0403,0503,0603,0804;messenger;0;4865;43-51;0xfb1a;f4febc55ea12b31ae17cfb7e614afda8;t000200_1301_a56c5b993250;t000200_1301_002b,0033;tests/apps3/messenger_02-13-extracted.csv;0
192.168.3.28;31.13.84.4;57371;443;6;static.xx.fbcdn.net;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867;43-10-51-13-0-16-45;0x001d,0x0017;;h2,h2-fb,http/1.1;0403,0503,0603,0804;0x0304,0xfb1a;7a29c223fb122ec64d10f0a159e07996;t00d0307h2_55b375c5d22e_8f5d6a331b25;t00d0307h2_1301,1302,1303_000a,000d,002b,002d,0033_0403,0503,0603,0804;messenger;0;4865;43-51;0xfb1a;f4febc55ea12b31ae17cfb7e614afda8;t000200_1301_a56c5b993250;t000200_1301_002b,0033;tests/apps3/messenger_02-13-extracted.csv;0
192.168.3.28;31.13.84.4;57372;443;6;static.xx.fbcdn.net;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867;43-10-51-13-0-16-45;0x001d,0x0017;;h2,h2-fb,http/1.1;0403,0503,0603,0804;0x0304,0xfb1a;7a29c223fb122ec64d10f0a159e07996;t00d0307h2_55b375c5d22e_8f5d6a331b25;t00d0307h2_1301,1302,1303_000a,000d,002b,002d,0033_0403,0503,0603,0804;messenger;0;4865;43-51;0xfb1a;f4febc55ea12b31ae17cfb7e614afda8;t000200_1301_a56c5b993250;t000200_1301_002b,0033;tests/apps3/messenger_02-13-extracted.csv;0
192.168.3.28;31.13.84.4;57387;443;6;lookaside.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867;43-10-51-13-0-16-45;0x001d,0x0017;;h2,h2-fb,http/1.1;0403,0503,0603,0804;0x0304,0xfb1a;7a29c223fb122ec64d10f0a159e07996;t00d0307h2_55b375c5d22e_8f5d6a331b25;t00d0307h2_1301,1302,1303_000a,000d,002b,002d,0033_0403,0503,0603,0804;messenger;0;4865;43-51;0xfb1a;f4febc55ea12b31ae17cfb7e614afda8;t000200_1301_a56c5b993250;t000200_1301_002b,0033;tests/apps3/messenger_02-13-extracted.csv;0
192.168.3.28;31.13.84.4;57388;443;6;lookaside.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867;43-10-51-13-0-16-45;0x001d,0x0017;;h2,h2-fb,http/1.1;0403,0503,0603,0804;0x0304,0xfb1a;7a29c223fb122ec64d10f0a159e07996;t00d0307h2_55b375c5d22e_8f5d6a331b25;t00d0307h2_1301,1302,1303_000a,000d,002b,002d,0033_0403,0503,0603,0804;messenger;0;4865;43-51;0xfb1a;f4febc55ea12b31ae17cfb7e614afda8;t000200_1301_a56c5b993250;t000200_1301_002b,0033;tests/apps3/messenger_02-13-extracted.csv;0
192.168.3.28;31.13.84.4;57389;443;6;lookaside.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867;43-10-51-13-0-16-45;0x001d,0x0017;;h2,h2-fb,http/1.1;0403,0503,0603,0804;0x0304,0xfb1a;7a29c223fb122ec64d10f0a159e07996;t00d0307h2_55b375c5d22e_8f5d6a331b25;t00d0307h2_1301,1302,1303_000a,000d,002b,002d,0033_0403,0503,0603,0804;messenger;0;4865;43-51;0xfb1a;f4febc55ea12b31ae17cfb7e614afda8;t000200_1301_a56c5b993250;t000200_1301_002b,0033;tests/apps3/messenger_02-13-extracted.csv;0
192.168.3.28;31.13.84.4;57390;443;6;lookaside.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867;43-10-51-13-0-16-45;0x001d,0x0017;;h2,h2-fb,http/1.1;0403,0503,0603,0804;0x0304,0xfb1a;7a29c223fb122ec64d10f0a159e07996;t00d0307h2_55b375c5d22e_8f5d6a331b25;t00d0307h2_1301,1302,1303_000a,000d,002b,002d,0033_0403,0503,0603,0804;messenger;0;4865;43-51;0xfb1a;f4febc55ea12b31ae17cfb7e614afda8;t000200_1301_a56c5b993250;t000200_1301_002b,0033;tests/apps3/messenger_02-13-extracted.csv;0
192.168.3.28;31.13.84.4;58452;443;17;static.xx.fbcdn.net;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865;43-10-51-13-0-16-45-42-27-65445-41;0x001d,0x0017;;h3-fb-05;0403,0503,0603,0804;0x0304,0x7f1a;12946c4afc6c05d80e7cbfdb5da7aa0d;q00d0111h5_0f2cb44170f4_5e55ee982306;q00d0111h5_1301_000a,000d,001b,0029,002a,002b,002d,0033,ffa5_0403,0503,0603,0804;messenger;0;4865;43-51-41;0x0304;fcb2d4d0991292272fcb1e464eedfd43;q130300_1301_0ee26285a86f;q130300_1301_002b,0033,0029;tests/apps3/messenger_02-13-extracted.csv;0
192.168.3.28;31.13.84.8;52317;443;17;graph.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865;43-10-51-13-0-16-45-27-65445;0x001d,0x0017;;h3-fb-05;0403,0503,0603,0804;0x0304,0x7f1a;4ddc13785ff84a4401a6a3b1d371c539;q00d0109h5_0f2cb44170f4_5d0af52b1a12;q00d0109h5_1301_000a,000d,001b,002b,002d,0033,ffa5_0403,0503,0603,0804;messenger;A;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;q130200_1301_a56c5b993250;q130200_1301_002b,0033;tests/apps3/messenger_02-13-extracted.csv;0
