SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
192.168.3.28;104.30.128.70;50465;443;17;mask.icloud.com;Cloudflare, Inc., CLOUDFLARENET;771;4866;10-43-51-13-20-45-0-57-16;0x001d;;h3;0403;0x0304;4193fd0499c37e8eed9fec80787b295f;q13d0109h3_ee47968ec53b_cf6d9b7e5ad4;q13d0109h3_1302_000a,000d,0014,002b,002d,0033,0039_0403;spotify;0;4866;51-43;0x0304;907bf3ecef1c987c889946b737b43de8;q130200_1302_234ea6891581;q130200_1302_0033,002b;tests/apps3/spotify_03-14-extracted.csv;0
192.168.3.28;13.32.110.84;51337;443;6;api2.branch.io;Amazon.com, Inc., AMAZO-CF;771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303,0x0302,0x0301;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;t13d1713h1_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;spotify;A;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/apps3/spotify_03-14-extracted.csv;0
192.168.3.28;142.251.36.106;51332;443;6;firebaseinstallations.googleapis.com;Google LLC, GOOGLE;771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303,0x0302,0x0301;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;t13d1713h1_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;spotify;A;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/apps3/spotify_03-14-extracted.csv;0
192.168.3.28;17.248.209.72;62971;443;6;gateway.icloud.com;Apple Inc., APPLE-WWNET;771;4865-4866-4867-49196-49195-52393-49200-49199-52392-49162-49161-49172-49171-157-156-53-47-49160-49170-10;0-23-65281-10-11-16-5-13-18-51-45-43-27-21;0xaaaa,0x001d,0x0017,0x0018,0x0019;0;h2,http/1.1;0403,0804,0401,0503,0203,0805,0805,0501,0806,0601,0201;0x4a4a,0x0304,0x0303,0x0302,0x0301;773906b0efdefa24a7f2b8eb6985bf37;t13d2014h2_a09f3c656075_14788d8d241b;t13d2014h2_000a,002f,0035,009c,009d,1301,1302,1303,c008,c009,c00a,c012,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,002b,002d,0033,ff01_0403,0804,0401,0503,0203,0805,0805,0501,0806,0601,0201;spotify;0;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/apps3/spotify_03-14-extracted.csv;0
192.168.3.28;18.66.27.101;51340;443;6;cdn.branch.io;Amazon.com, Inc., AMAZO-CF;771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303,0x0302,0x0301;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;t13d1713h1_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;spotify;A;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/apps3/spotify_03-14-extracted.csv;0
192.168.3.28;199.232.18.250;51333;443;6;superbird.spotifycdn.com;Fastly, Inc., SKYCA-3;771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303;f79b6bad2ad0641e1921aef10262856b;t13d1513h2_8daaf6152771_eca864cca44a;t13d1513h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;spotify;0;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/apps3/spotify_03-14-extracted.csv;0
192.168.3.28;23.195.248.26;62970;443;6;itunes.apple.com;Akamai Technologies, Inc., AKAMAI;771;4865-4866-4867-49196-49195-52393-49200-49199-52392-49162-49161-49172-49171-157-156-53-47-49160-49170-10;0-23-65281-10-11-16-5-13-18-51-45-43-27-21;0x2a2a,0x001d,0x0017,0x0018,0x0019;0;h2,http/1.1;0403,0804,0401,0503,0203,0805,0805,0501,0806,0601,0201;0x0a0a,0x0304,0x0303,0x0302,0x0301;773906b0efdefa24a7f2b8eb6985bf37;t13d2014h2_a09f3c656075_14788d8d241b;t13d2014h2_000a,002f,0035,009c,009d,1301,1302,1303,c008,c009,c00a,c012,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,002b,002d,0033,ff01_0403,0804,0401,0503,0203,0805,0805,0501,0806,0601,0201;spotify;0;4866;43-51;0x0304;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;t130200_1302_002b,0033;tests/apps3/spotify_03-14-extracted.csv;0
192.168.3.28;31.13.84.8;51334;443;6;graph.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303,0x0302,0x0301;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;t13d1713h1_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;spotify;A;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/apps3/spotify_03-14-extracted.csv;0
192.168.3.28;31.13.84.8;51335;443;6;graph.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303,0x0302,0x0301;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;t13d1713h1_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;spotify;A;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/apps3/spotify_03-14-extracted.csv;0
192.168.3.28;31.13.84.8;51336;443;6;graph.facebook.com;Meta Platforms Ireland Limited, IE-FACEBOOK-20110418 (IE);771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303,0x0302,0x0301;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;t13d1713h1_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;spotify;A;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/apps3/spotify_03-14-extracted.csv;0
192.168.3.28;35.186.224.24;51338;443;6;clienttoken.spotify.com;Google LLC, GOOGLE-CLOUD;771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303;f79b6bad2ad0641e1921aef10262856b;t13d1513h2_8daaf6152771_eca864cca44a;t13d1513h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;spotify;0;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/apps3/spotify_03-14-extracted.csv;0
