SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
192.168.3.28;146.75.34.73;51448;443;6;api19-normal-useast5.tiktokv.us;Fastly, Inc., FASTLY (US);771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-41;0x9a9a,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601;0xcaca,0x0304,0x0303;598872011444709307b861ae817a4b60;t13d1516h2_8daaf6152771_9b887d9acb53;t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0017,001b,0023,0029,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601;tiktok;0;4865;43-51-41;0x0304;fcb2d4d0991292272fcb1e464eedfd43;t130300_1301_0ee26285a86f;t130300_1301_002b,0033,0029;tests/apps3/tiktok_02-14-extracted.csv;0
192.168.3.28;146.75.34.73;64341;443;17;api19-core-useast5.tiktokv.us;Fastly, Inc., FASTLY (US);771;4865-4866-4867;27-0-17513-10-16-43-65445-13-45-51;0x001d,0x0017,0x0018;;h3-29;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304;a0ba1af23841a6b495f9696c64d17274;q13d0310h9_55b375c5d22e_b064f0e3421d;q13d0310h9_1301,1302,1303_000a,000d,001b,002b,002d,0033,4469,ffa5_0403,0804,0401,0503,0805,0501,0806,0601,0201;tiktok;0;4866;43-51;0x0304;15af977ce25de452b96affa2addb1036;q130200_1302_a56c5b993250;q130200_1302_002b,0033;tests/apps3/tiktok_02-14-extracted.csv;0
192.168.3.28;199.232.18.73;60269;443;17;oec19-normal-useast5.tiktokv.us;Fastly, Inc., SKYCA-3;771;4865-4866-4867;51-16-10-13-65445-0-17513-43-27-45;0x001d,0x0017,0x0018;;h3-29;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304;7b456169b2611667f58690aee9e86299;q13d0310h9_55b375c5d22e_b064f0e3421d;q13d0310h9_1301,1302,1303_000a,000d,001b,002b,002d,0033,4469,ffa5_0403,0804,0401,0503,0805,0501,0806,0601,0201;tiktok;0;4866;43-51;0x0304;15af977ce25de452b96affa2addb1036;q130200_1302_a56c5b993250;q130200_1302_002b,0033;tests/apps3/tiktok_02-14-extracted.csv;0
192.168.3.28;212.5.219.32;51447;443;6;p16-sign-va.tiktokcdn.com;Slovak Telecom Network Administrator, BA-WEBHOUSING-NET (SK);771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-21;0x7a7a,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601;0x7a7a,0x0304,0x0303;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601;tiktok;0;4866;43-51;0x0304;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;t130200_1302_002b,0033;tests/apps3/tiktok_02-14-extracted.csv;0
192.168.3.28;212.5.219.74;51450;443;6;mon.tiktokv.com;Slovak Telecom Network Administrator, BA-WEBHOUSING-NET (SK);771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303,0x0302,0x0301;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;t13d1713h1_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;tiktok;0;4866;43-51;0x0304;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;t130200_1302_002b,0033;tests/apps3/tiktok_02-14-extracted.csv;0
192.168.3.28;23.33.40.13;51441;443;6;oec16-normal-useast5.tiktokv.us;Akamai Technologies, Inc., AKAMAI;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-21;0x4a4a,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601;0xcaca,0x0304,0x0303;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601;tiktok;0;4866;43-51;0x0304;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;t130200_1302_002b,0033;tests/apps3/tiktok_02-14-extracted.csv;0
192.168.3.28;23.33.40.13;52936;443;17;oec16-normal-useast5.tiktokv.us;Akamai Technologies, Inc., AKAMAI;771;4865-4866-4867;27-65445-43-10-16-17513-45-0-13-51;0x001d,0x0017,0x0018;;h3-29;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304;c90545366b615148d71bd5ac90a595c2;q13d0310h9_55b375c5d22e_b064f0e3421d;q13d0310h9_1301,1302,1303_000a,000d,001b,002b,002d,0033,4469,ffa5_0403,0804,0401,0503,0805,0501,0806,0601,0201;tiktok;0;4866;43-51;0x0304;15af977ce25de452b96affa2addb1036;q130200_1302_a56c5b993250;q130200_1302_002b,0033;tests/apps3/tiktok_02-14-extracted.csv;0
192.168.3.28;23.33.40.15;51444;443;6;libra16-normal-useast5.tiktokv.us;Akamai Technologies, Inc., AKAMAI;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-21;0xaaaa,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601;0x7a7a,0x0304,0x0303;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601;tiktok;0;4866;43-51;0x0304;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;t130200_1302_002b,0033;tests/apps3/tiktok_02-14-extracted.csv;0
192.168.3.28;23.33.40.24;58306;443;17;api16-core-useast5.tiktokv.us;Akamai Technologies, Inc., AKAMAI;771;4865-4866-4867;10-45-27-13-65445-0-51-17513-16-43;0x001d,0x0017,0x0018;;h3-29;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304;1f5f0d65ab9657930b2b0440b58a8f25;q13d0310h9_55b375c5d22e_b064f0e3421d;q13d0310h9_1301,1302,1303_000a,000d,001b,002b,002d,0033,4469,ffa5_0403,0804,0401,0503,0805,0501,0806,0601,0201;tiktok;0;4866;43-51;0x0304;15af977ce25de452b96affa2addb1036;q130200_1302_a56c5b993250;q130200_1302_002b,0033;tests/apps3/tiktok_02-14-extracted.csv;0
192.168.3.28;23.33.40.27;51451;443;6;tnc16-normal-useast8.tiktokv.us;Akamai Technologies, Inc., AKAMAI;771;4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-21;0x6a6a,0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601;0xcaca,0x0304,0x0303;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;t13d1516h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,0023,002b,002d,0033,4469,ff01_0403,0804,0401,0503,0805,0501,0806,0601;tiktok;0;4866;43-51;0x0304;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;t130200_1302_002b,0033;tests/apps3/tiktok_02-14-extracted.csv;0
