1.0.0.1;APNIC Research and Development, APNIC-LABS (AU)
1.1.1.1;APNIC Research and Development, IDNIC-BOYOLALIKAB-ID (ID)
1.194.172.138;ABUSE CHINANETCN, CHINANET-HA (CN)
1.51.6.3;CERNET Helpdesk, NJR-CERNET (CN)
100.20.15.103;Amazon.com, Inc., AMAZO-4
100.20.16.155;Amazon.com, Inc., AMAZO-4
100.20.20.131;Amazon.com, Inc., AMAZO-4
100.21.153.152;Amazon.com, Inc., AMAZO-4
100.21.156.86;Amazon.com, Inc., AMAZO-4
100.24.144.248;Amazon Data Services NoVa, AMAZON-IAD
100.25.175.42;Amazon Data Services NoVa, AMAZON-IAD
100.26.12.76;Amazon Data Services NoVa, AMAZON-IAD
100.29.26.214;Amazon Data Services NoVa, AMAZON-IAD
101.36.166.19;ABUSE CNISPCN, Honeycomb (CN)
101.73.66.114;CNCGroup Hostmaster, CNCGROUP-HE (CN)
101.91.133.126;ABUSE CHINANETCN, CHINANET-SH (CN)
102.132.104.40;FB-FIH1-01, FB-FIH1-01 (CD)
102.220.22.104;KONZA, First_Block (KE)
103.111.136.110;Petukangan Selatan, Pesanggrahan Jakarta Selatan, IDNIC-KPM-ID (ID)
103.151.151.131;BILIBILI HK LIMITED, BILIBILIHKLIMITED-HK (CN)
103.152.35.32;Aperture Science Limited, APERTURE-HK (HK)
103.168.172.37;Fastmail, FASTMAILPTYLTD-AU (AU)
103.224.182.243;Trellian Pty. Limited, TRELLIAN-AU (AU)
103.224.212.211;Trellian Pty. Limited, TRELLIAN-AU (AU)
103.224.212.214;Trellian Pty. Limited, TRELLIAN-AU (AU)
103.235.88.190;TWNIC Whois Administrator, TWNIC-TW (TW)
103.247.152.236;MAXUM DATA LTD - network administrator, MAXUM-152-INTERNAL (NZ)
103.251.173.206;Field Solutions Group Pty Ltd, FIELD-AU (AU)
103.80.88.74;Cibinong, Kabupaten Bogor, JLM-INFRASTRUKTUR-CUST (ID)
104.103.88.235;Akamai International, BV, AIBV
104.123.41.162;Akamai Technologies, Inc., AKAMAI
104.126.37.123;Akamai Technologies, Inc., AKAMAI
104.126.37.129;Akamai Technologies, Inc., AKAMAI
104.126.37.130;Akamai Technologies, Inc., AKAMAI
104.126.37.131;Akamai Technologies, Inc., AKAMAI
104.126.37.136;Akamai Technologies, Inc., AKAMAI
104.126.37.139;Akamai Technologies, Inc., AKAMAI
104.126.37.144;Akamai Technologies, Inc., AKAMAI
104.126.37.147;Akamai Technologies, Inc., AKAMAI
104.126.37.152;Akamai Technologies, Inc., AKAMAI
104.126.37.154;Akamai Technologies, Inc., AKAMAI
104.126.37.155;Akamai Technologies, Inc., AKAMAI
104.128.190.51;365 Group LLC, 365GROUPLLC
104.131.210.80;DigitalOcean, LLC, DIGITALOCEAN-104-131-0-0
104.152.211.151;Rica Web Services, RWS
104.16.102.112;Cloudflare, Inc., CLOUDFLARENET
104.16.119.50;Cloudflare, Inc., CLOUDFLARENET
104.16.123.96;Cloudflare, Inc., CLOUDFLARENET
104.16.134.27;Cloudflare, Inc., CLOUDFLARENET
