SrcIP;DstIP;SrcPort;DstPort;SNI;OrgName;JA3hash;JA4 hash;AppName;Type;JA3S hash;JA4S hash;Filename;Version
192.168.3.28;104.96.145.31;64877;443;www.aliexpress.com;Akamai International, BV, AIBV;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;0;42ec7b1db61428bf1cc6e01b9ef02b04;t1206h2_c02c_e1dda4771ae8;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;104.96.145.31;64878;443;www.aliexpress.com;Akamai International, BV, AIBV;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;0;42ec7b1db61428bf1cc6e01b9ef02b04;t1206h2_c02c_e1dda4771ae8;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;104.96.145.31;64923;443;assets.alicdn.com;Akamai International, BV, AIBV;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;0;42ec7b1db61428bf1cc6e01b9ef02b04;t1206h2_c02c_e1dda4771ae8;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;104.96.145.31;64924;443;assets.alicdn.com;Akamai International, BV, AIBV;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;0;42ec7b1db61428bf1cc6e01b9ef02b04;t1206h2_c02c_e1dda4771ae8;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;104.96.145.31;64925;443;assets.alicdn.com;Akamai International, BV, AIBV;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;0;42ec7b1db61428bf1cc6e01b9ef02b04;t1206h2_c02c_e1dda4771ae8;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;104.96.145.31;64926;443;assets.alicdn.com;Akamai International, BV, AIBV;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;0;42ec7b1db61428bf1cc6e01b9ef02b04;t1206h2_c02c_e1dda4771ae8;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;104.96.145.31;64927;443;assets.alicdn.com;Akamai International, BV, AIBV;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;0;42ec7b1db61428bf1cc6e01b9ef02b04;t1206h2_c02c_e1dda4771ae8;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;104.96.145.31;64928;443;assets.alicdn.com;Akamai International, BV, AIBV;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;aliexpress;0;42ec7b1db61428bf1cc6e01b9ef02b04;t1206h1_c02c_e1dda4771ae8;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;104.96.145.31;64929;443;assets.alicdn.com;Akamai International, BV, AIBV;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;0;42ec7b1db61428bf1cc6e01b9ef02b04;t1206h2_c02c_e1dda4771ae8;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;104.96.145.31;64930;443;assets.alicdn.com;Akamai International, BV, AIBV;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;aliexpress;0;42ec7b1db61428bf1cc6e01b9ef02b04;t1206h1_c02c_e1dda4771ae8;tests/apps3/aliexpress_01-11-extracted.csv;0
